순번	유저번호	영화제목	상영관번호	좌석번호	상영일	영화시작시간	금액
42	3	라라랜드	3	H7	2020-12-03	20:00	6000
43	3	라라랜드	3	H8	2020-12-03	20:00	6000
44	4	핸즈 오브 스톤	1	E9	2020-12-03	10:00	8100
45	4	핸즈 오브 스톤	1	E10	2020-12-03	10:00	8100
46	5	아가씨	5	B5	2020-12-03	12:00	9000
47	5	아가씨	5	B6	2020-12-03	12:00	9000
48	5	아가씨	5	B7	2020-12-03	12:00	9000
49	5	아가씨	5	B8	2020-12-03	12:00	9000
50	5	아가씨	5	B9	2020-12-03	12:00	9000
51	7	스토커	7	A3	2020-12-03	14:00	13500
52	7	스토커	7	A4	2020-12-03	14:00	13500
53	7	스토커	7	A5	2020-12-03	14:00	13500
54	10	암살	1	C8	2020-12-03	18:00	8100
55	1	핸즈 오브 스톤	1	C4	2020-12-04	14:00	7650
56	1	핸즈 오브 스톤	1	C5	2020-12-04	14:00	7650
57	1	핸즈 오브 스톤	1	C6	2020-12-04	14:00	7650
58	1	핸즈 오브 스톤	1	C7	2020-12-04	14:00	7650
59	3	그래비티	3	F2	2020-12-04	14:00	6000
60	3	형	2	D3	2020-12-04	0:00	9000
61	4	아가씨	5	B4	2020-12-04	0:00	8100
62	4	아가씨	5	B5	2020-12-04	0:00	8100
63	9	아가씨	5	G5	2020-12-04	20:00	9000
64	9	아가씨	5	G6	2020-12-04	20:00	9000
65	9	아가씨	5	G7	2020-12-04	20:00	9000
66	9	아가씨	5	G8	2020-12-04	20:00	9000
67	9	아가씨	5	G9	2020-12-04	20:00	9000
68	5	그래비티	3	H4	2020-12-05	8:00	8100
69	5	잭 리처	4	D6	2020-12-05	8:00	10800
70	8	미씽	7	D8	2020-12-05	10:00	15000
71	8	미씽	7	D9	2020-12-05	10:00	15000
72	8	미씽	7	D10	2020-12-05	10:00	15000
73	1	신비한 동물사전	6	C6	2020-12-06	8:00	9000
74	1	신비한 동물사전	6	C7	2020-12-06	8:00	9000
75	1	형	2	B2	2020-12-06	14:00	10200
76	1	형	2	B3	2020-12-06	14:00	10200
77	2	라라랜드	3	B1	2020-12-06	20:00	5400
78	2	라라랜드	3	B2	2020-12-06	20:00	5400
79	2	라라랜드	3	B3	2020-12-06	20:00	5400
80	7	그래비티	3	F9	2020-12-06	14:00	8100
81	7	그래비티	3	F10	2020-12-06	14:00	8100
82	8	그래비티	3	E8	2020-12-06	8:00	8100
83	8	그래비티	3	E9	2020-12-06	8:00	8100
84	10	신비한 동물사전	6	F5	2020-12-06	0:00	10800
85	10	신비한 동물사전	6	F6	2020-12-06	0:00	10800
86	9	인사이드 아웃	2	G8	2020-12-07	18:00	12000
87	10	아가씨	5	G2	2020-12-07	20:00	8100
88	10	아가씨	5	G3	2020-12-07	20:00	8100
89	10	아가씨	5	G4	2020-12-07	20:00	8100
90	10	아가씨	5	G5	2020-12-07	20:00	8100
91	1	라라랜드	3	C6	2020-12-08	20:00	7650
92	4	미씽	7	G4	2020-12-08	0:00	13500
93	4	미씽	7	G5	2020-12-08	0:00	13500
94	4	형	2	D1	2020-12-08	0:00	10800
95	4	형	2	D2	2020-12-08	0:00	10800
96	4	형	2	D3	2020-12-08	0:00	10800
97	7	신비한 동물사전	6	B1	2020-12-08	18:00	10800
98	7	신비한 동물사전	6	B2	2020-12-08	18:00	10800
99	7	신비한 동물사전	6	B3	2020-12-08	18:00	10800
100	3	암살	1	G10	2020-12-09	8:00	5400
101	4	신비한 동물사전	6	H2	2020-12-09	0:00	10800
102	4	신비한 동물사전	6	H3	2020-12-09	0:00	10800
103	4	신비한 동물사전	6	H4	2020-12-09	0:00	10800
104	4	신비한 동물사전	6	H5	2020-12-09	0:00	10800
105	5	스토커	7	B2	2020-12-09	20:00	15000
106	5	스토커	7	B3	2020-12-09	20:00	15000
107	5	스토커	7	B4	2020-12-09	20:00	15000
108	5	스토커	7	B5	2020-12-09	20:00	15000
109	7	암살	1	E7	2020-12-09	12:00	8100
110	7	암살	1	E8	2020-12-09	12:00	8100
111	8	핸즈 오브 스톤	1	C3	2020-12-09	20:00	9000
112	9	신비한 동물사전	6	A2	2020-12-09	0:00	12000
113	9	신비한 동물사전	6	A3	2020-12-09	0:00	12000
114	10	스토커	7	A6	2020-12-10	20:00	13500
115	10	스토커	7	A7	2020-12-10	20:00	13500
116	10	스토커	7	A8	2020-12-10	20:00	13500
117	3	미씽	7	F8	2020-12-11	0:00	12000
118	3	미씽	7	F9	2020-12-11	0:00	12000
119	6	라라랜드	3	A1	2020-12-11	20:00	5100
120	6	라라랜드	3	A2	2020-12-11	20:00	5100
121	1	인사이드 아웃	2	E6	2020-12-12	16:00	10200
122	1	인사이드 아웃	2	E7	2020-12-12	16:00	10200
123	1	인사이드 아웃	2	E8	2020-12-12	16:00	10200
124	2	형	2	F2	2020-12-12	0:00	8100
125	4	암살	1	G1	2020-12-12	8:00	7200
126	4	암살	1	G2	2020-12-12	8:00	7200
127	4	암살	1	G3	2020-12-12	8:00	7200
128	7	스토크	2	G6	2020-12-12	10:00	10800
129	7	스토크	2	G7	2020-12-12	10:00	10800
130	7	스토크	2	G8	2020-12-12	10:00	10800
131	7	스토크	2	G9	2020-12-12	10:00	10800
132	7	아가씨	5	E2	2020-12-13	20:00	8100
133	7	아가씨	5	E3	2020-12-13	20:00	8100
134	7	아가씨	5	E4	2020-12-13	20:00	8100
135	7	아가씨	5	E5	2020-12-13	20:00	8100
136	9	형	2	F7	2020-12-13	14:00	12000
137	9	형	2	F8	2020-12-13	14:00	12000
138	9	형	2	F9	2020-12-13	14:00	12000
139	9	형	2	F10	2020-12-13	14:00	12000
140	1	미씽	7	G7	2020-12-14	10:00	12750
141	1	미씽	7	G8	2020-12-14	10:00	12750
142	1	미씽	7	G9	2020-12-14	10:00	12750
143	1	미씽	7	G10	2020-12-14	10:00	12750
144	5	핸즈 오브 스톤	1	E6	2020-12-14	14:00	9000
145	5	암살	1	H8	2020-12-14	18:00	9000
146	5	암살	1	H9	2020-12-14	18:00	9000
147	6	스토크	2	F9	2020-12-14	10:00	7650
148	1	스토크	2	H7	2020-12-15	10:00	10200
149	6	핸즈 오브 스톤	1	F8	2020-12-15	20:00	5100
150	6	핸즈 오브 스톤	1	F9	2020-12-15	20:00	5100
151	6	핸즈 오브 스톤	1	F10	2020-12-15	20:00	5100
152	7	핸즈 오브 스톤	1	C5	2020-12-15	10:00	8100
153	7	핸즈 오브 스톤	1	C6	2020-12-15	10:00	8100
154	8	신비한 동물사전	6	A5	2020-12-16	14:00	12000
155	8	신비한 동물사전	6	A6	2020-12-16	14:00	12000
156	8	신비한 동물사전	6	A7	2020-12-16	14:00	12000
157	5	라라랜드	3	F6	2020-12-17	16:00	9000
158	5	라라랜드	3	F7	2020-12-17	16:00	9000
159	9	라라랜드	3	F6	2020-12-17	20:00	9000
160	9	라라랜드	3	F7	2020-12-17	20:00	9000
161	10	신비한 동물사전	6	E3	2020-12-17	18:00	10800
162	10	신비한 동물사전	6	E4	2020-12-17	18:00	10800
163	4	스토크	2	A4	2020-12-18	12:00	10800
164	4	스토크	2	A5	2020-12-18	12:00	10800
165	4	스토크	2	A6	2020-12-18	12:00	10800
166	4	암살	1	G3	2020-12-18	0:00	8100
167	4	암살	1	G4	2020-12-18	0:00	8100
168	4	암살	1	G5	2020-12-18	0:00	8100
169	8	암살	1	E8	2020-12-18	18:00	9000
170	8	암살	1	E9	2020-12-18	18:00	9000
171	9	미씽	7	F7	2020-12-18	10:00	15000
172	9	미씽	7	F8	2020-12-18	10:00	15000
173	9	미씽	7	F9	2020-12-18	10:00	15000
174	10	핸즈 오브 스톤	1	D4	2020-12-18	10:00	8100
175	10	형	2	B1	2020-12-18	14:00	10800
176	2	신비한 동물사전	6	B5	2020-12-19	8:00	7200
177	2	신비한 동물사전	6	B6	2020-12-19	8:00	7200
178	3	미씽	7	H2	2020-12-19	0:00	12000
179	3	미씽	7	H3	2020-12-19	0:00	12000
180	6	신비한 동물사전	6	G3	2020-12-19	18:00	7650
181	7	형	2	C4	2020-12-19	14:00	10800
182	8	라라랜드	3	F10	2020-12-19	16:00	9000
183	8	잭 리처	4	C8	2020-12-19	16:00	12000
184	10	형	2	B2	2020-12-19	14:00	10800
185	10	인사이드 아웃	2	D6	2020-12-19	16:00	10800
186	4	그래비티	3	H5	2020-12-20	10:00	8100
187	6	형	2	C8	2020-12-20	14:00	7650
188	8	암살	1	E10	2020-12-20	12:00	9000
189	9	스토커	7	B8	2020-12-20	14:00	15000
190	9	스토커	7	B9	2020-12-20	14:00	15000
191	9	스토커	7	B10	2020-12-20	14:00	15000
192	1	그래비티	3	F2	2020-12-21	10:00	7650
193	1	아가씨	5	B2	2020-12-21	18:00	7650
194	7	미씽	7	C1	2020-12-21	14:00	13500
195	7	미씽	7	C2	2020-12-21	14:00	13500
196	7	라라랜드	3	B6	2020-12-22	20:00	8100
197	7	라라랜드	3	B7	2020-12-22	20:00	8100
198	9	그래비티	3	D7	2020-12-22	14:00	9000
199	9	그래비티	3	D8	2020-12-22	14:00	9000
200	1	신비한 동물사전	6	H5	2020-12-23	12:00	10200
201	1	스토크	2	D6	2020-12-24	10:00	10200
202	3	스토크	2	E2	2020-12-24	12:00	9000
203	7	신비한 동물사전	6	D8	2020-12-24	8:00	9600
204	7	신비한 동물사전	6	D9	2020-12-24	8:00	9600
205	1	신비한 동물사전	6	D5	2020-12-25	8:00	9000
206	1	라라랜드	3	B9	2020-12-25	0:00	7650
207	2	신비한 동물사전	6	D9	2020-12-25	18:00	8100
208	2	신비한 동물사전	6	D10	2020-12-25	18:00	8100
209	3	스토크	2	F6	2020-12-25	12:00	9000
210	3	스토크	2	F7	2020-12-25	12:00	9000
211	3	라라랜드	3	F7	2020-12-25	0:00	6000
212	3	라라랜드	3	F8	2020-12-25	0:00	6000
213	5	형	2	C9	2020-12-25	0:00	12000
214	6	그래비티	3	C2	2020-12-25	14:00	5100
215	6	그래비티	3	C3	2020-12-25	14:00	5100
216	8	인사이드 아웃	2	D8	2020-12-25	18:00	12000
217	1	신비한 동물사전	6	B7	2020-12-26	22:00	10200
218	1	신비한 동물사전	6	B8	2020-12-26	22:00	10200
219	1	신비한 동물사전	6	B9	2020-12-26	22:00	10200
220	9	신비한 동물사전	6	B1	2020-12-26	8:00	10800
221	9	신비한 동물사전	6	B2	2020-12-26	8:00	10800
222	9	신비한 동물사전	6	B3	2020-12-26	8:00	10800
223	1	미씽	7	G1	2020-12-27	10:00	12750
224	1	미씽	7	G2	2020-12-27	10:00	12750
225	2	스토크	2	F1	2020-12-27	10:00	8100
226	2	스토크	2	F2	2020-12-27	10:00	8100
227	3	인사이드 아웃	2	C8	2020-12-27	16:00	9000
228	8	형	2	E6	2020-12-27	14:00	12000
229	8	형	2	E7	2020-12-27	14:00	12000
230	2	그래비티	3	E9	2020-12-28	8:00	4800
231	2	그래비티	3	E10	2020-12-28	8:00	4800
232	6	인사이드 아웃	2	F5	2020-12-29	16:00	7650
233	1	스토커	8	G4	2021-01-03	20:00	12750
234	1	스토커	8	G5	2021-01-03	20:00	12750
235	1	스토커	8	G6	2021-01-03	20:00	12750
236	4	미씽	8	G6	2021-01-08	0:00	13500
237	4	미씽	8	G7	2021-01-08	0:00	13500
238	4	미씽	8	G8	2021-01-08	0:00	13500
239	4	미씽	8	G9	2021-01-08	0:00	13500
240	1	미씽	8	E6	2021-01-10	20:00	12750
241	10	미씽	8	E2	2021-01-10	0:00	13500
242	10	미씽	8	E3	2021-01-10	0:00	13500
243	10	미씽	8	E4	2021-01-10	0:00	13500
244	5	미씽	8	A5	2021-01-13	20:00	15000
245	5	미씽	8	A6	2021-01-13	20:00	15000
246	6	미씽	8	E3	2021-01-14	18:00	10200
247	6	미씽	8	E4	2021-01-14	18:00	10200
248	6	미씽	8	E5	2021-01-14	18:00	10200
249	6	미씽	8	E6	2021-01-14	18:00	10200
250	1	미씽	8	C4	2021-01-16	20:00	12750
251	8	스토커	8	H7	2021-01-16	12:00	15000
252	8	스토커	8	H8	2021-01-16	12:00	15000
253	8	스토커	8	H9	2021-01-16	12:00	15000
254	8	스토커	8	H10	2021-01-16	12:00	15000
255	4	스토커	8	A1	2021-01-18	16:00	0
256	4	스토커	8	A2	2021-01-18	16:00	0
257	4	스토커	8	A3	2021-01-18	16:00	0
