예약일	버스코드	버스번호	좌석	회원아이디	가격	발권상태
2017-03-25	A007	1호차	6	비회원	17000	Ⅹ
2017-03-25	A006	2호차	10	user06	17000	Ⅹ
2017-03-26	A007	2호차	11	user01	17000	Ⅹ
2017-03-26	A004	2호차	4	user01	23000	Ⅹ
2017-03-26	A002	1호차	19	user10	23000	Ⅹ
2017-03-27	A001	2호차	6	user12	23000	Ⅹ
2017-03-27	A003	2호차	4	비회원	23000	Ⅹ
2017-03-27	A004	2호차	13	user14	23000	Ⅹ
2017-03-28	A005	1호차	18	user15	23000	Ⅹ
2017-03-28	A009	2호차	20	user15	17000	Ⅹ
2017-03-28	A009	2호차	18	user14	17000	Ⅹ
2017-03-29	A003	1호차	7	user02	23000	Ⅹ
2017-03-29	A003	2호차	9	user03	23000	Ⅹ
2017-03-29	A005	1호차	11	비회원	23000	Ⅹ
2017-03-30	A001	1호차	11	비회원	23000	Ⅹ
2017-03-30	A009	2호차	18	비회원	17000	Ⅹ
2017-03-30	A003	2호차	19	비회원	23000	Ⅹ
2017-03-31	A003	2호차	16	비회원	23000	Ⅹ
2017-03-31	A003	1호차	6	user07	23000	Ⅹ
2017-03-31	A002	2호차	2	user02	23000	Ⅹ
2017-04-01	A001	2호차	9	비회원	23000	Ⅹ
2017-04-01	A006	2호차	2	user06	17000	Ⅹ
2017-04-01	A001	1호차	5	user01	23000	Ⅹ
2017-04-02	A005	2호차	7	user01	23000	Ⅹ
2017-04-02	A002	2호차	2	user02	23000	Ⅹ
2017-04-02	A008	2호차	8	비회원	17000	Ⅹ
2017-04-03	A006	1호차	9	user06	17000	Ⅹ
2017-04-03	A008	1호차	16	user01	17000	Ⅹ
2017-04-03	A001	2호차	3	user01	23000	Ⅹ
2017-04-04	A008	1호차	11	user10	17000	Ⅹ
2017-04-04	A004	2호차	20	user12	23000	Ⅹ
2017-04-04	A004	2호차	19	비회원	23000	Ⅹ
2017-04-05	A001	2호차	15	user14	23000	Ⅹ
2017-04-05	A001	2호차	19	user15	17000	Ⅹ
2017-04-05	A001	1호차	8	user15	23000	Ⅹ
2017-04-06	A001	1호차	16	user14	23000	Ⅹ
2017-04-06	A001	2호차	7	user02	23000	Ⅹ
2017-04-06	A001	1호차	17	user03	23000	Ⅹ
2017-04-07	A005	2호차	8	비회원	23000	Ⅹ
2017-04-07	A001	1호차	2	비회원	17000	Ⅹ
2017-04-07	A009	1호차	3	user02	17000	Ⅹ
2017-04-08	A002	2호차	9	user03	23000	Ⅹ
2017-04-08	A003	2호차	15	비회원	23000	Ⅹ
2017-04-08	A008	1호차	2	비회원	17000	Ⅹ
2017-04-09	A008	2호차	19	비회원	17000	Ⅹ
2017-04-09	A003	2호차	1	비회원	23000	Ⅹ
2017-04-09	A003	2호차	12	비회원	23000	Ⅹ
2017-04-10	A002	2호차	9	비회원	23000	Ⅹ
