No	music_no	member_no	rating
170	26	37	내가 왜 이제야 이 노래를 알게 됐을까..
171	26	15	
172	26	16	
173	27	39	
174	27	32	
175	27	26	
176	27	35	
177	27	37	
178	27	12	
179	28	8	
180	28	5	
181	28	11	
182	28	29	들리면 춤출 듯
183	28	36	
184	28	15	
185	29	27	
186	29	35	목소리 내 스탈…
187	29	25	첫소절 듣자마자 반해버린건 나뿐??
188	29	6	
189	30	24	
190	30	21	
191	30	31	덕질하게 만든 노래
192	30	26	
193	30	18	
194	30	39	
195	30	11	
196	30	13	
197	30	25	친구가 보고싶어지는 노래
198	30	5	
199	30	35	
200	30	37	
201	31	33	
202	31	35	
203	31	5	
204	31	37	반주랑 딱딱떨어져서 좋네요
205	32	15	
206	32	33	정수리까지 소름돋는 느낌
207	32	21	멜론 1위 가즈아!
208	32	28	
209	32	26	
210	32	23	
211	32	18	띵.곡
212	32	1	중독성은 이 노래가 최강
213	32	36	가사가 별로다
214	33	6	비오는 날 듣기 좋다
215	33	5	표절한거같은데
216	33	32	
217	33	1	난 오늘만 셀수 없이 들음
218	33	35	
219	33	40	
220	33	11	
221	34	35	
222	34	31	
223	34	30	
224	34	25	언제들어도 감미롭다
225	34	19	
226	34	4	
227	34	9	
228	34	5	
229	34	28	
230	34	11	
231	34	36	
232	35	40	
233	35	25	
234	35	26	
235	35	16	
236	35	33	최고에요
237	35	31	여행갈때 들으면 딱일듯
238	36	6	
239	36	3	
240	36	8	
241	36	1	
242	36	28	
243	36	7	진짜 내가 너무 아끼고 너무 좋아하는 노래..
244	36	9	
245	37	20	
246	37	29	
247	37	39	노래 너무 좋은거 아니냐
248	37	24	여전히 좋은 노래.
249	37	15	아무말 할 필요없다
250	37	7	
251	38	1	
252	38	31	
253	38	36	노래가 머리속에서 맴돌아요
254	38	30	
255	38	17	
256	39	6	
257	39	36	
258	40	28	
259	40	1	이 노래 따라올 노래는 없을듯
260	40	21	
261	40	22	
262	40	38	
263	40	30	잘때 매일 듣는 노래
264	40	36	
265	40	23	미띤!
266	40	20	맨처음 부분 나오자마자 너무 신남 ㅋㅋㅋㅋㅋㅋ
267	40	39	
268	41	22	오래된 친구를 만난 느낌
269	41	29	나의 삶의 원동력같은 노래
270	41	17	
271	41	35	
272	41	2	들으면서 자면 좋은 꿈을 꿀 것 같다
273	41	14	힘이 되어주는 노래
274	42	40	
275	42	26	
276	42	4	
277	42	16	
278	42	10	너무 많이 들어서 지겨워요 
279	42	17	
280	42	19	
281	42	20	
282	42	25	
283	43	7	시험망쳤는데 조금 위로가되네요
284	43	23	
285	43	13	박자가 잘안맞는듯
286	43	34	
287	43	32	
288	43	37	
289	43	30	
290	43	8	가사랑 노래 다 완전 참신하고 신선하다..
291	44	20	진심 최고…!
292	44	11	
293	44	4	
294	44	33	
295	44	18	언제든 역주행 가능한 곡
296	45	3	
297	45	4	
298	45	29	
299	45	17	고음부분이 맘에들어요
300	45	27	
301	45	31	감탄사밖에 안나오네요
302	45	12	
303	46	8	
304	46	1	
305	46	39	
306	46	7	
307	46	26	포기하고싶어진다
308	46	31	
309	47	29	
310	47	11	완전 내 이야기 노래로 만듬ㅠㅠ
311	47	4	
312	47	16	
313	47	37	
314	47	20	
315	47	6	밤새 들어본노래
316	47	25	
317	48	39	
318	48	28	
319	48	23	황홀해진다
320	48	37	끝이 너무 마음에 들어서 몇 번씩 돌려 듣는 중
321	48	29	
322	49	36	톡톡튀는 멜로디가 매력적이네요
323	49	9	
324	49	29	
325	49	7	
326	49	11	
327	49	17	
328	49	22	해어진 사람에게 추천하는 노래
329	49	10	
330	50	8	
331	50	23	
332	50	6	
333	50	25	이 노래 들으면서 힐링중
334	50	3	
335	50	27	
336	50	17	
337	51	32	하루에 1번씩은 꼭 듣는 것 같아요 최고에요!
338	51	23	
339	51	34	
340	51	24	
341	52	7	공부하다 들으러 왔는데 여기서 벗어나질 못하겠음..
342	52	8	
343	52	9	
344	52	32	
345	52	29	
346	52	15	
347	53	8	
348	53	32	
349	53	1	
350	53	10	
351	53	2	
352	53	37	
353	53	4	여기 중2병 널렸네
354	54	23	나의 연애세포를 살려준 노래
355	54	15	
356	54	12	
357	55	40	
358	55	6	
359	55	38	
360	55	26	
361	55	18	
362	55	13	
363	55	39	
364	55	27	
365	55	29	
366	55	15	위로받는 노래
367	55	24	
368	55	8	
369	56	34	
370	56	40	ㄹㅇ띵곡
371	56	3	목소리가 너무 좋아요
372	56	38	
373	56	4	
374	56	22	
375	56	39	
376	56	35	
377	56	20	
378	56	1	얼굴값하시는듯
379	57	17	
380	58	25	
381	58	2	반주랑 잘안맞는듯
382	58	32	제일 좋아하는 곡중 하나
383	58	36	
384	58	38	
385	59	21	
386	59	25	
387	59	9	
388	59	35	
389	59	4	
390	60	28	
391	60	5	
392	60	17	처음 전주만 듣고 딱 내 인생곡이라고 생각함
393	60	40	난 이곡이 제일맘에듬
394	60	12	10초 듣고 홀려버림
395	60	2	그리워요
396	60	20	매번 가사를 잊어버림
397	60	14	
398	60	16	옛날 생각나서 너무 슬프다
399	60	35	
400	60	6	
401	60	15	
402	61	11	
403	61	27	
404	61	19	
405	61	29	
406	61	7	
407	61	36	
408	62	27	
409	62	22	듣다가 반해버림
410	62	12	Good job :)
411	62	34	
412	62	17	
413	62	35	목소리에 반해버림
414	62	31	
415	62	10	음색이 맑은 호수같아요!
416	63	35	
417	63	23	
418	63	5	해가 질 때마다 듣는 노래임
419	63	1	시원한 느낌이다
420	63	15	
421	63	12	
422	63	26	
423	63	22	
424	64	22	
425	64	38	목소리 실화냐
426	64	3	내 얘기인줄
427	64	18	
428	64	31	
429	64	5	얼굴도 이쁘고 노래도 잘하고…
430	64	32	
431	64	29	
432	65	10	
433	65	33	
434	65	23	개인적으로 가장 좋아하는 노래
435	65	38	
436	65	29	
437	66	37	
438	66	7	
439	66	23	
440	66	39	아무리 힘들어도 이 노래 하나면 충분할듯
441	66	20	
442	66	27	Nice song!
443	67	5	
444	67	24	
445	67	26	
446	67	28	
447	67	36	이노래는 이사람말곤 못부른다. 커버가 불가능한 곡.
448	67	4	노래가 너무좋아서 공부에 집중이 안되요
449	67	38	
450	68	7	하루하루 살아가게 만드는 노래
451	68	19	
452	68	30	
453	68	5	출근하는 길에 들어봤는데 너무 좋아서 지금도 듣는중
454	68	1	
455	68	11	
456	69	13	
457	69	17	
458	70	29	
459	70	32	
460	70	33	좋아하는노래 1등
461	70	11	
462	71	20	갑자기 팥빙수 먹고 싶어지는 노래
463	71	11	
464	71	27	
465	71	40	
466	71	29	벅차오른다
467	71	17	이런 노래는 지금 들어도 질리지가 않네
468	71	21	직접 만나뵙고 싶네요
469	71	13	
470	71	19	
471	71	38	
472	72	15	곡이 정말 좋아요! 특히 가사가..
473	72	9	
474	72	40	
475	72	30	
476	72	2	
477	73	8	
478	73	4	
479	73	3	
480	73	35	사랑을 하고싶어지는 노래
481	73	5	가사 너무 맘에 들어..
482	73	17	
483	73	37	
484	73	28	
485	74	27	
486	74	26	
487	74	25	
488	74	2	정말 공감되는 노래네요
489	74	12	
490	74	16	
491	74	1	
492	74	30	
493	75	4	노래 정말 좋음 특히 도입부 멜로디가 너무 좋다
494	75	40	
495	75	30	
496	75	37	무한반복해도 질리지 않는 노래입니다..
497	75	1	
498	75	39	
499	75	13	
500	76	25	
501	76	23	이거 이어폰으로 들으면서 가면 너무 참기 힘듬… 춤추고 싶어짐 ㅋㅋㅋ
502	76	33	
503	76	17	
504	76	21	
505	76	7	
506	76	16	
507	76	35	
508	76	13	
509	76	31	봄에 꼭 들리는 노래
510	77	9	
511	77	36	
512	77	31	
513	77	27	길거리에서 이노래 나오면 너무 신나
514	77	17	
515	77	22	
516	77	21	
517	77	11	노래가 너무 신나요 ㅋㅋㅋ
518	77	30	듣기 좋다
519	77	15	
520	77	24	이 곡 작사한분 좀 지리는듯
521	78	36	
522	78	28	
523	78	34	
524	78	25	
525	78	9	노래는 좋은데 가사가 별로다
526	78	3	
527	78	40	이노래 우리 부모님께 들려드렸더니 나쁘지 않다네요
528	79	11	
529	79	37	
530	79	39	
531	79	31	
532	79	40	
533	79	21	Wow amazing!:)
534	79	8	뭐든 할 수 있을거 같다
535	80	19	
536	80	38	소재가 신선했다
537	80	10	이런 음악이 필요했다
538	80	28	
539	80	35	어떻게 저렇게 잘부르지…?
540	80	11	
541	80	30	가사가 좋아요ㅎ
542	80	23	
543	81	38	
544	81	34	
545	81	32	재미난 가사가 좋다
546	81	6	
547	81	30	매일 자기 직전에 꼭 한번씩 듣는 노래.
548	81	29	
549	81	17	
550	82	34	
551	82	15	
552	82	7	
553	82	17	
554	82	40	
555	83	19	다신 안들을 것 같아요
556	83	11	
557	83	4	내 최애곡1위
558	83	35	마음이 아프다
559	83	39	
560	83	3	
561	83	10	
562	84	5	진짜 어떻게 이런곡을 쓰지??
563	84	35	
564	84	40	
565	84	17	들으면 들을수록 좋은 노래
566	84	21	
567	85	35	
568	85	13	길가다가 어디선가 들어봐서 찾아봤는데 이 노래였구나 ㅋㅋㅋ
569	86	16	
570	86	27	
571	86	20	
572	86	7	
573	87	8	
574	87	14	발음, 박자, 목소리 모든게 완벽한 노래
575	87	31	
576	87	32	안고싶다
577	87	7	
578	87	13	
579	87	36	
580	87	4	힐링된다..
581	87	5	
582	88	24	
583	88	33	
584	88	35	
585	88	27	앞으로도 좋은곡 많이 내주시길...!
586	88	4	들으면 들을수로 중독되
587	88	8	굿굿
588	89	32	
589	89	39	
590	89	30	이 곡은 더 알려져야 한다.. 노래 들으면서 울컥해본건 이노래가 처음이다
591	89	37	처진다..
592	89	23	울컥한다
593	89	20	하.. 요즘 생활이 힘든 중3입니다. 요즘 힘들어서 다 포기하고 싶었는데 이 노래 들으니 다시 힘이 나는것 같네요. 다들 힘냅시다!
594	89	18	
595	90	22	
596	90	33	진짜 이 노래는 한 번도 안 들은 사람은 있어도 한 번만 들은 사람은 없을 듯
597	90	14	
598	90	27	
599	90	39	
600	90	10	이 노래 찾고있었는데 너무좋은듯
601	91	35	
602	91	39	
603	91	28	
604	92	26	
605	92	18	
606	92	31	친구들한테 추천해주고 싶다
607	92	16	
608	92	19	
609	93	18	
610	93	3	
611	93	37	
612	93	10	혼란스럽다
613	93	19	
614	93	11	가사가 너무 와닿아요
615	93	25	
616	93	26	
617	93	13	반주에서 부터 치였다
618	94	4	이거 들으면서 월요병 치유하자
619	94	7	
620	94	36	이렇게 안질리기도 힘들겠다 ㅋㅋ
621	94	5	
622	94	14	
623	94	2	한번듣고 빠짐
624	94	39	내가 제일 좋아하는 가수!
625	94	25	
626	94	38	용기가난다
627	94	21	
628	95	1	감성 폭발하는 노래
629	95	25	
630	95	8	
631	95	6	
632	95	27	
633	95	28	녹아버릴거 같다
634	95	39	
635	95	3	
636	95	40	
637	95	14	
638	96	34	힘들때 들으면 좋다
639	96	33	예전 노래지만 다시 불러도 좋은곡
640	96	25	
641	96	38	
642	96	29	소름이 돋는다
643	96	6	
644	96	26	
645	96	40	
646	97	39	아직도 좋은 노래
647	97	22	
648	97	28	
649	97	36	
650	97	24	3:33초 이부분 약간 옆집노래랑 비슷한거 같은데
651	97	27	
652	98	19	
653	98	18	
654	98	35	
655	98	34	
656	98	17	
657	99	32	
658	99	12	
659	99	6	
660	99	26	
661	99	34	
662	100	25	내가 제일 좋아하는 노래임.
663	100	20	
664	100	17	
665	101	4	노래가 정신없어요
666	101	12	
667	101	29	
668	101	3	
669	101	35	파티할때 틀어놓기 좋은 노래
670	101	16	알람으로 하기 딱 좋은 노래
671	101	1	
672	101	11	
673	101	9	
674	101	34	
675	101	17	
676	102	16	역주행 가자
677	102	21	박자가 매끄럽고 감정이 너무 잘 표현됐다.
678	102	26	
679	102	12	집에서 빈둥대면서 듣는노래
680	102	24	아직 초반부분인데 벌써 좋은듯
681	102	7	공감이 안된다
682	103	17	집중력 높여지는 기분
683	103	4	
684	103	40	song of legend
685	103	16	
686	103	38	
687	103	22	노래 잘하니까 얼굴도 잘생겨보이네..
688	103	15	
689	104	1	
690	104	12	
691	104	18	
692	104	9	지나가다 듣고 찾아봄
693	104	17	
694	104	32	목소리 너무 좋네요
695	104	2	
696	104	27	
697	105	12	클럽가면 나올법한 노래
698	105	8	반주랑 음이 안맞는다
699	106	13	별로임
700	106	25	이 노래 다운로드 링크좀 주세요
701	106	15	
702	106	16	
703	106	29	
704	106	2	
705	106	5	
706	107	5	
707	107	31	
708	107	29	감각적인 노래
709	107	26	
710	107	16	이거 어제 친구랑 같이 불렀는뎈ㅋㅋ
711	107	28	와 고음 미쳤다..
712	108	14	
713	108	31	This song is best!
714	108	16	
715	108	8	
716	108	11	
717	108	4	최고ㅎㅎ
718	108	21	어렸때 부르고 다닌 노래
719	108	34	멜로디가 별로다
720	108	24	
721	109	6	창법이 독특해서 매력이있는듯
722	109	15	목소리에 끌려서 매일 듣는 노래
723	109	5	별로인데…..
724	109	3	
725	109	20	
726	109	10	아침마다 듣는 노래
727	109	4	수능금지곡 1위;
728	109	38	
729	109	22	
730	110	7	
731	110	10	
732	110	16	
733	110	18	노래 좋아서 다운 받음
734	110	6	
735	110	4	
736	110	24	
737	111	3	
738	111	8	
739	111	19	
740	111	15	
741	112	33	희망이없다
742	112	16	
743	112	40	
744	112	1	
745	113	37	노래 떡상가자
746	113	35	예술은 노래에서 피어난다..
747	113	32	
748	113	19	지겨울정도로 들었어요
749	113	13	
750	113	16	저절로 따라하게 됨
751	114	2	
752	114	15	한국인이에요?? 헐 대박
753	115	16	
754	115	39	
755	115	6	
756	115	35	
757	115	34	
758	116	19	사랑에 힘들었어도 다시 사랑하던 그 시절이 생각나는 노래
759	116	5	
760	116	22	
761	116	16	들으면 들을수록 좋은 노래..ㅠㅠㅠ
762	116	1	개인적으로 올해 최고의 노래인 것 같네요.
763	116	28	
764	116	7	항상 믿고 듣는 노래
765	117	21	
766	117	13	
767	117	29	
768	117	22	
769	117	20	
770	118	20	
771	118	38	차트1위 노래는 역시 다르다
772	118	24	
773	118	9	
774	118	26	
775	118	14	
776	119	4	너무 흥겹네요
777	119	11	하이라이트 부분에서 반했다
778	119	13	
779	119	16	빠져드는 목소리
780	119	40	
781	119	35	
782	120	13	
783	120	1	
784	120	29	
785	120	17	
786	120	37	
787	120	27	
788	120	40	
789	120	18	
790	121	20	초반엔 잠잠하다가 중간에 고음지를때 소름이 막;;
791	121	33	
792	121	32	
793	121	8	
794	121	38	지루할 틈 없이 신박함
795	121	29	
796	121	16	좋아요
797	121	12	
798	121	19	
799	122	12	
800	122	36	
801	122	6	
802	122	34	슬픈날 듣기 좋다
803	122	13	여할갈때 들으면 딱일듯
804	122	38	
805	122	20	조회수 100만 가즈아!!!
806	122	15	
807	122	10	듣기 편해서 괜찮다
808	123	32	
809	123	2	작곡가가 천재인듯
810	123	6	
811	123	27	
812	123	16	친구가 너무좋다고 소개해줬어요
813	123	8	
814	123	29	
815	123	35	
816	123	19	차트에 없는게 신기할 정도
817	124	5	
818	124	32	
819	124	7	
820	124	22	보컬 목소리 너무 듣기 편안함..
821	124	17	
822	124	6	
823	124	13	
824	124	31	
825	125	3	
826	125	32	
827	125	25	
828	125	30	
829	125	1	
830	125	15	
831	125	8	
832	126	36	
833	126	30	아무것도하기싫을때 듣기 좋은 노래
834	126	17	
835	126	8	
836	126	7	
837	127	15	
838	127	32	가을에 듣기 좋은 노래
839	127	27	
840	127	7	
841	127	33	
842	128	10	
843	128	22	넘나 좋은것
844	128	32	
845	128	20	
846	128	1	
847	128	4	
848	129	23	들으면 웅장한 드라마 장면이 생각나서 소름 돋음
849	129	15	이노래 찾다가 1시간걸린듯…
850	129	13	
851	130	12	
852	130	13	이 사람 노래는 다좋음
853	130	39	
854	130	11	
855	130	5	
856	131	8	
857	131	5	
858	131	25	
859	131	4	으악ㅠㅠ 진짜 노래 넘 좋아요
860	131	30	This song is very cool! :)
861	131	12	
862	131	15	
863	131	34	멋져요
864	131	40	이건 부족한게없다
865	131	32	
866	131	23	
867	131	7	
868	132	19	너무 시끄럽다
869	132	37	듣기 편안해요
870	132	33	
871	132	35	
872	132	27	
873	132	32	이건 노래계의 전설이다
874	132	36	최건우
875	132	20	
876	133	26	
877	133	22	이 노래 다른 곡에 가려져서 잘 몰랐는데 가사가 너무 좋다..
878	133	35	
879	133	15	목소리 너무좋다
880	133	11	외모와 목소리둘다 최고에요
881	134	22	
882	134	28	
883	134	14	
884	134	33	내 취향
885	134	27	우울할때 들으면 기분좋을듯
886	134	21	
887	135	18	
888	135	10	
889	135	15	
890	135	2	
891	136	3	
892	136	29	
893	136	18	
894	136	27	
895	136	25	
896	136	36	
897	136	28	
898	136	23	
899	137	7	
900	137	14	
901	137	34	
902	137	23	갠적으로 이게 젤 좋은듯
903	137	13	
904	137	17	
905	137	4	
906	137	24	뒤늦게 알게된 곡이라 더 많이 듣게 되는듯
907	138	11	
908	138	15	
909	138	2	
910	138	37	헤어지고싶다
911	138	12	노래일뿐이지만 나의 감정을 뒤흔들어 놓는것은 왜일까..
912	138	33	어떻게 별로인 노래가 하나도없지?
913	138	29	
914	138	4	
915	138	35	
916	138	3	
917	138	17	
918	139	27	
919	139	16	시끄럽다
920	139	25	
921	139	4	
922	139	10	
923	139	22	이상해지는거 같아요
924	140	26	
925	140	2	
926	140	34	
927	141	7	예전노래지만 다시불러도좋은곡
928	141	27	
929	141	31	
930	141	6	
931	141	3	
932	141	30	
933	142	25	
934	142	30	
935	142	32	
936	142	36	금방 질린다
937	143	29	
938	143	22	
939	143	31	
940	143	17	언제나 들어도 질리지가 않는듯
941	143	11	
942	143	32	
943	144	3	이 노래를 듣고 이 가수한테 빠지게 됨
944	144	27	
945	144	20	목소리가 좋다
946	144	8	차분해지는 노래
947	144	38	
948	144	15	
949	144	5	
950	145	8	
951	145	9	
952	145	4	
953	145	5	
954	145	18	
955	146	34	
956	146	38	
957	146	32	무거운 노래…
958	146	2	
959	146	13	다음 앨범이 너무 기대되는 노래
960	146	35	죽을때까지 들을 노래
961	146	29	사랑하고싶어진다
962	146	4	
963	146	30	이 노래만 계속 듣고있네요ㅎ
964	146	7	가사랑 악기가 잘 어울린다
965	147	28	
966	147	39	
967	147	33	
968	147	16	
969	147	4	
970	148	1	
971	148	37	
972	148	6	
973	148	5	
974	148	39	
975	148	29	곡 진짜 잘 뽑은듯!
976	149	37	
977	149	16	
978	149	19	
979	149	12	
980	149	13	
981	149	39	
982	149	9	이렇게 상쾌한노래가 있다니…
983	149	40	
984	150	28	
985	150	7	
986	150	31	음색이 너무 좋아
987	150	15	노래가 정말 고급지다. 가사랑 비트도 다 세련됐어
988	150	39	
989	150	1	레알 띵곡이네
990	150	6	
991	150	21	
992	150	38	제가 제일좋아하는곡!
993	150	35	
994	150	13	
995	151	37	
996	151	13	이 노래 안들어본 사람이 있나?
997	151	21	이 노래 듣고 하루를 시작하면 좋은듯
998	151	8	
999	151	19	여행하는 기분이다
1000	152	24	
1001	152	11	
1002	152	32	
1003	152	36	
1004	152	14	
1005	152	34	
1006	152	1	
1007	153	9	
1008	153	19	
1009	153	16	세련된 감각과 음악센스가 좋은 분위기의 노래
1010	153	23	
1011	153	17	
1012	153	13	
1013	153	5	
1014	154	14	화음이 되게좋아요
1015	154	27	
1016	154	19	
1017	154	13	
1018	154	12	
1019	155	16	이노래 너무 좋잖아
1020	155	27	
1021	155	12	
1022	155	26	
1023	156	18	
1024	156	27	
1025	156	14	들을수록 더 좋아지는 노래임
1026	156	28	
1027	156	3	
1028	156	31	
1029	156	35	
1030	157	9	사랑해요!!
1031	157	28	
1032	157	8	
1033	157	3	
1034	157	2	
1035	157	37	
1036	157	6	거의 수능금지곡…
1037	157	4	
1038	157	12	
1039	157	10	
1040	157	14	
1041	158	17	나만 이 노래 나오면 흥부자 되냐? ㅋㅋ
1042	158	6	
1043	158	21	
1044	158	28	마음이 편안해지네요
1045	159	36	awesome :)
1046	159	15	바다 가고 싶게 만드는 노래다
1047	159	4	발라드 최고
1048	159	18	
1049	159	16	
1050	160	38	특유의 찌질한 감성이 남자들 마음을 사로잡음
1051	160	19	게임하면서 들으면 좋을거 같다
1052	160	6	
1053	160	32	
1054	160	31	
1055	160	15	
1056	160	37	
1057	160	29	너무 잘부른다
1058	160	5	
1059	160	8	
1060	160	2	
1061	161	2	
1062	161	9	
1063	161	6	
1064	161	11	
1065	161	12	
1066	161	7	
1067	161	39	길 지나다니면 이노래 계속 나옴 ㅋㅋ
1068	161	37	
1069	161	32	응원합니다!
1070	161	19	
1071	161	10	
1072	162	4	
1073	162	32	
1074	162	35	
1075	162	1	
1076	162	29	
1077	163	16	
1078	163	14	
1079	163	37	
1080	163	15	
1081	163	1	
1082	163	21	
1083	164	31	
1084	164	1	학교 끝나고 집갈때 듣는 노래
1085	164	23	여행 가고싶을때나 쉬고 싶을때 자주 듣는 노래
1086	164	4	
1087	165	29	나이는 들어도 노래는 변하지 않는다.
1088	165	36	이제 헤어나올수 없어…
1089	165	28	
1090	165	21	감탄만 나오는 노래
1091	165	7	
1092	165	25	
1093	165	9	
1094	166	35	
1095	166	15	
1096	167	23	
1097	167	13	
1098	167	22	
1099	167	15	좋구나..
1100	168	36	
1101	168	13	룰루랄라
1102	168	25	
1103	168	5	따라부르다가 목쉬었어요
1104	168	28	
1105	168	10	
1106	168	26	울 애가 좋아해요
1107	168	34	
1108	169	32	
1109	169	19	
1110	169	17	
1111	169	24	
1112	169	39	목소리가 너무 좋아여
1113	169	34	
1114	170	11	친구들끼리 부르고다님
1115	170	2	가음이 먹먹하다
1116	170	33	
1117	171	30	이 노래만 무한반복 중
1118	171	25	
1119	171	6	
1120	171	40	이 노래가 나온 시기에 살아서 행복할 정도로 좋다
1121	171	22	
1122	171	38	트로트 너무좋아요
1123	171	32	
1124	171	8	
1125	171	34	이런 느낌의 노래 너무 좋다.
1126	171	2	
1127	172	28	
1128	172	37	
1129	172	36	
1130	172	14	
1131	172	30	감정이입 최고다
1132	173	18	
1133	173	3	
1134	173	39	
1135	173	4	
1136	173	8	
1137	174	2	흥분된다
1138	174	3	
1139	174	19	
1140	174	22	
1141	174	33	
1142	174	32	
1143	175	15	
1144	175	34	게임 할때마다 틀어 놓고 게임중
1145	175	3	
1146	175	38	
1147	176	32	
1148	176	23	너무 흔한느낌?
1149	176	30	
1150	176	24	친구가 매일 들려줌
1151	176	11	
1152	176	18	
1153	176	4	
1154	176	35	
1155	176	29	
1156	177	3	
1157	177	25	
1158	177	14	
1159	177	26	이노래 진짜 너무 좋은데 왜 안유명한지 모르겠다..
1160	177	34	
1161	177	32	
1162	177	2	들으면 자동으로 춤추게 되는 곡
1163	177	30	
1164	177	17	이거 뭔 노랜지 한달정도 궁금했었는데 찾았네요 ㅎㅎ
1165	178	18	혼자 듣기 아까운 곡
1166	178	17	
1167	178	35	짝사랑하는 사람에게 추천
1168	178	6	
1169	178	33	
1170	178	11	지난 추억을 되새기는 노래
1171	178	1	from japan
1172	178	30	
1173	178	2	
1174	178	19	
1175	179	6	노래가 너무 깔끔해요
1176	179	15	
1177	179	36	
1178	179	25	
1179	179	24	
1180	179	28	작곡한 사람 대단하다
1181	179	21	신날때 듣기 좋은 노래
1182	179	9	
1183	179	37	
1184	180	14	
1185	180	10	
1186	180	33	
1187	180	1	내 인생에서 가장 좋아하는 아티스트
1188	180	25	
1189	180	21	지친다
1190	180	38	퇴근길 노래리스트 추가요~~
1191	181	37	이 노래는 한파트 한파트 모두가 킬링파트네
1192	181	14	
1193	181	8	친구랑 같이 들어봤는데 노래가 너무 좋아요
1194	181	11	
1195	182	23	기분 좋을때 자동으로 흥얼흥얼 나오는 노래.. 진짜 좋음 이노래
1196	182	7	
1197	182	3	노래가 슬퍼요
1198	182	32	
1199	182	18	힘든 하루를 끝마치는 노래
1200	182	35	
1201	182	16	
1202	183	39	노래 너무 좋다
1203	183	17	멜로디가 약간 옛날느낌?
1204	183	38	일하면서 듣고 있어요
1205	183	2	
1206	183	27	뭔가 독서할때 깔리는 bgm느낌
1207	183	34	내 최애곡 1위
1208	184	8	
1209	184	22	
