No	music_no	member_no	date	amount
79	16	1	2018-09-30	1
80	88	1	2018-06-08	8
81	311	1	2018-12-13	6
82	15	1	2018-12-24	2
83	66	1	2018-08-27	6
84	105	1	2018-05-10	9
85	185	1	2019-01-31	1
86	259	1	2018-05-25	10
87	319	1	2019-03-29	9
88	317	1	2018-12-05	3
89	291	1	2018-07-31	6
90	284	1	2018-07-07	1
91	65	1	2018-07-31	7
92	309	1	2019-04-01	10
93	170	1	2018-08-11	6
94	184	1	2019-03-05	4
95	226	1	2018-06-22	6
96	55	1	2018-11-30	10
97	84	1	2018-06-27	4
98	287	1	2019-05-23	10
99	3	1	2018-11-08	2
100	161	1	2018-11-09	9
101	193	1	2019-02-05	4
102	73	1	2018-10-01	1
103	301	1	2018-05-28	5
104	175	1	2018-04-23	9
105	62	1	2019-03-22	6
106	216	1	2018-12-14	7
107	263	1	2019-02-20	8
108	130	1	2018-10-29	1
109	95	1	2019-01-03	6
110	1	1	2019-03-27	5
111	59	1	2018-08-01	7
112	266	1	2019-03-13	7
113	272	1	2019-03-23	8
114	110	1	2019-04-18	2
115	286	1	2019-02-18	2
116	61	1	2018-09-20	2
117	303	1	2019-01-11	5
118	69	1	2019-03-15	10
119	127	1	2018-12-19	5
120	230	1	2019-01-24	6
121	223	1	2018-09-23	6
122	167	1	2018-12-10	1
123	237	1	2018-07-19	3
124	253	1	2019-04-23	7
125	205	1	2019-02-18	2
126	157	1	2019-05-24	5
127	76	1	2019-03-26	4
128	44	1	2019-03-10	2
129	85	1	2018-07-30	9
130	238	1	2018-12-10	3
131	17	1	2018-12-03	10
132	48	1	2018-07-01	1
133	208	1	2018-11-04	6
134	165	1	2018-11-11	8
135	222	1	2018-12-28	2
136	109	1	2018-10-26	9
137	231	1	2018-06-17	9
138	281	1	2018-07-03	2
139	27	1	2018-12-05	8
140	270	1	2019-04-04	9
141	192	1	2018-11-18	10
142	147	1	2018-10-13	6
143	217	1	2019-01-26	8
144	198	1	2018-06-03	1
145	9	1	2018-09-18	10
146	42	1	2018-07-23	2
147	280	1	2018-10-27	10
148	206	1	2019-05-05	1
149	70	1	2018-10-10	1
150	276	1	2018-07-25	6
151	67	1	2019-03-02	2
152	38	1	2018-05-04	8
153	98	1	2018-09-29	4
154	168	1	2019-01-09	7
155	258	1	2019-05-22	7
156	277	1	2018-08-13	1
157	30	1	2018-09-12	5
158	160	1	2018-05-04	6
159	298	1	2018-06-07	9
160	235	1	2018-12-13	10
161	72	1	2019-04-20	7
162	172	1	2018-10-17	3
163	229	1	2019-02-06	5
164	180	1	2018-07-18	10
165	282	1	2018-10-12	8
166	182	1	2019-02-24	9
167	154	1	2019-04-25	9
168	93	1	2019-05-18	2
169	204	1	2019-02-06	9
170	241	1	2019-03-09	2
171	129	1	2019-01-23	1
172	306	1	2018-05-11	3
173	295	1	2019-02-23	6
174	7	1	2018-07-04	7
175	125	1	2018-04-28	7
176	240	1	2018-08-29	6
177	148	1	2019-04-16	4
178	117	1	2018-08-11	2
179	261	1	2019-04-29	5
180	133	1	2018-07-20	7
181	90	1	2018-09-11	6
182	32	1	2019-05-15	8
183	304	1	2019-02-24	6
184	264	1	2018-07-04	9
185	68	1	2019-03-25	5
186	271	1	2019-03-11	3
187	28	1	2019-02-06	7
188	302	1	2018-07-25	3
189	196	1	2019-05-01	1
190	139	1	2018-07-22	8
191	52	1	2019-01-05	5
192	54	1	2019-03-02	1
193	103	1	2018-08-13	7
194	45	1	2019-03-28	8
195	31	1	2018-09-02	5
196	96	1	2018-07-03	7
197	210	1	2018-09-30	1
198	81	1	2018-05-30	10
199	116	1	2018-08-31	7
200	2	1	2018-09-24	3
201	40	1	2019-02-03	1
202	119	1	2018-09-10	6
203	74	1	2018-05-21	4
204	213	1	2018-08-21	8
205	313	1	2018-10-17	2
206	124	1	2018-08-19	2
207	252	1	2019-01-03	1
208	260	1	2018-12-30	4
209	315	1	2018-05-29	1
210	183	1	2019-01-29	1
211	97	1	2019-03-19	10
212	268	1	2019-05-12	8
213	158	1	2018-04-28	6
214	87	1	2018-05-06	3
215	46	1	2018-09-29	10
216	194	1	2018-09-28	1
217	108	1	2018-12-15	7
218	89	1	2018-06-13	4
219	18	1	2019-03-01	7
220	79	1	2018-12-21	2
221	143	1	2018-09-09	9
222	150	1	2018-08-11	8
223	86	1	2019-01-07	8
224	10	1	2018-07-14	1
225	239	1	2018-11-18	7
226	107	1	2019-01-10	4
227	227	1	2018-10-20	3
228	115	1	2018-07-05	9
229	188	1	2018-08-25	10
230	186	1	2019-01-10	6
231	152	1	2018-06-21	4
232	312	1	2018-08-28	5
233	25	1	2018-05-28	6
234	4	1	2018-11-04	10
235	35	1	2019-02-06	9
236	187	1	2019-05-15	3
237	245	1	2018-11-20	9
238	8	1	2018-09-22	6
239	254	1	2019-04-20	8
240	289	1	2018-12-30	10
241	135	1	2018-08-29	9
242	141	1	2018-11-02	3
243	155	1	2019-01-14	5
244	234	1	2019-04-23	4
245	41	1	2018-10-08	6
246	190	1	2019-03-16	8
247	80	1	2019-02-12	6
248	137	1	2018-10-07	3
249	305	1	2018-12-13	9
250	11	1	2019-02-18	6
251	314	1	2019-03-12	5
252	299	1	2018-12-05	4
253	308	1	2019-04-10	2
254	134	1	2018-05-22	2
255	236	1	2018-12-06	7
256	210	2	2018-10-17	10
257	242	2	2019-05-25	9
258	158	2	2019-05-18	9
259	154	2	2019-01-30	2
260	285	2	2018-10-17	9
261	99	2	2018-06-16	2
262	88	2	2018-11-25	10
263	208	2	2018-06-21	3
264	179	2	2018-10-18	9
265	196	2	2018-07-21	1
266	189	2	2018-07-05	1
267	186	2	2018-07-02	2
268	1	2	2018-08-03	8
269	182	2	2018-05-19	9
270	32	2	2018-10-05	8
271	118	2	2018-08-03	1
272	15	2	2019-03-26	10
273	256	2	2018-05-05	10
274	40	2	2019-04-27	3
275	157	2	2018-12-26	6
276	91	2	2018-10-02	4
277	10	2	2018-09-23	3
278	131	2	2018-09-29	4
279	78	2	2019-05-04	2
280	296	2	2019-01-24	6
281	67	2	2019-03-04	4
282	23	2	2019-01-24	1
283	319	2	2018-11-05	6
284	228	2	2019-01-13	1
285	42	2	2018-11-26	6
286	270	2	2019-02-11	6
287	111	2	2018-11-06	3
288	84	2	2019-03-10	10
289	215	2	2018-08-21	9
290	312	2	2018-08-11	8
291	292	2	2019-03-30	10
292	58	2	2018-10-25	4
293	304	2	2019-02-01	3
294	243	2	2018-10-11	2
295	141	2	2018-12-23	4
296	130	2	2019-05-03	7
297	314	2	2018-11-09	2
298	257	2	2019-05-16	10
299	298	2	2019-03-30	3
300	206	2	2018-05-05	8
301	71	2	2019-01-06	10
302	168	2	2019-04-05	4
303	279	2	2019-03-28	4
304	205	2	2018-11-09	6
305	286	2	2018-10-05	1
306	201	2	2019-02-16	3
307	221	2	2019-02-07	7
308	35	2	2018-10-30	4
309	101	2	2019-01-23	3
310	230	2	2018-12-14	3
311	197	2	2019-03-12	2
312	18	2	2019-04-27	10
313	253	2	2018-08-07	3
314	233	2	2019-05-07	7
315	22	2	2018-08-05	6
316	96	2	2018-12-19	8
317	227	2	2019-04-16	10
318	249	2	2018-10-31	2
319	188	2	2018-05-19	5
320	98	2	2018-09-26	6
321	248	2	2018-05-24	6
322	75	2	2019-04-08	4
323	234	2	2018-05-05	5
324	25	2	2018-09-30	7
325	214	2	2018-06-20	5
326	307	2	2019-03-26	4
327	52	2	2018-05-20	1
328	203	2	2019-03-28	2
329	16	2	2019-03-10	1
330	254	2	2019-01-25	10
331	317	2	2019-02-20	3
332	306	2	2018-09-11	2
333	55	2	2019-04-05	2
334	124	2	2018-08-13	3
335	70	2	2018-11-27	5
336	187	2	2019-02-22	1
337	17	2	2018-06-13	7
338	155	2	2019-03-07	1
339	28	2	2019-05-16	9
340	38	2	2018-07-19	9
341	300	2	2019-02-07	4
342	92	2	2018-10-24	7
343	129	2	2018-08-22	8
344	44	2	2019-01-04	2
345	192	2	2018-04-22	5
346	220	2	2018-09-08	9
347	59	2	2019-05-16	4
348	313	2	2018-09-11	9
349	252	2	2018-12-21	2
350	195	2	2018-10-17	3
351	291	2	2018-10-31	2
352	20	2	2018-07-31	5
353	53	2	2019-02-19	2
354	144	2	2019-01-13	2
355	281	2	2018-07-13	1
356	102	2	2018-11-30	9
357	238	2	2019-03-15	9
358	104	2	2019-04-12	10
359	46	2	2018-05-16	9
360	110	2	2018-08-04	5
361	176	2	2018-07-23	9
362	275	2	2019-03-27	2
363	159	2	2019-03-09	2
364	4	2	2018-09-01	10
365	265	2	2018-08-19	10
366	224	2	2018-10-10	6
367	105	2	2019-03-19	9
368	226	2	2019-01-12	8
369	77	2	2018-09-01	4
370	217	2	2018-05-10	8
371	267	2	2018-12-02	8
372	142	2	2019-04-11	10
373	127	2	2018-06-28	3
374	90	2	2018-06-27	4
375	13	2	2019-03-22	9
376	100	2	2018-12-02	3
377	54	2	2018-07-31	2
378	229	2	2018-06-26	2
379	280	2	2018-07-16	2
380	202	2	2018-10-22	4
381	26	2	2019-04-05	8
382	193	2	2019-03-24	10
383	266	2	2018-05-31	3
384	283	2	2018-11-23	6
385	48	2	2019-01-07	1
386	271	2	2018-05-31	2
387	81	2	2018-10-13	6
388	74	2	2018-09-27	4
389	211	2	2018-05-27	6
390	30	2	2018-11-21	1
391	218	2	2019-04-12	10
392	174	2	2019-02-10	6
393	247	2	2018-09-13	8
394	137	2	2019-04-06	3
395	199	2	2018-09-23	7
396	171	2	2018-12-08	7
397	126	2	2018-11-29	10
398	80	2	2018-05-21	3
399	63	2	2018-08-29	2
400	290	2	2018-05-11	4
401	29	2	2018-12-23	4
402	269	2	2018-09-15	8
403	311	2	2018-07-13	4
404	11	2	2019-03-17	7
405	231	2	2018-09-06	10
406	161	2	2018-12-09	3
407	76	2	2018-10-11	2
408	184	2	2018-08-30	10
409	170	2	2018-05-11	9
410	7	2	2018-10-21	5
411	66	2	2018-05-11	8
412	198	2	2019-01-29	6
413	259	2	2019-03-31	2
414	119	2	2019-01-13	2
415	116	2	2019-05-25	7
416	51	2	2018-08-07	7
417	68	2	2019-03-11	1
418	153	2	2019-02-05	6
419	273	2	2018-11-01	5
420	207	2	2019-05-24	6
421	175	2	2019-04-30	10
422	143	2	2018-07-06	1
423	294	2	2018-06-09	9
424	272	2	2018-11-30	9
425	27	2	2018-12-12	10
426	114	2	2018-09-19	10
427	106	2	2018-10-24	8
428	237	2	2018-07-05	1
429	173	2	2018-06-14	9
430	250	2	2019-01-07	1
431	136	2	2018-09-12	6
432	128	2	2019-02-23	4
433	41	2	2019-03-04	6
434	64	2	2019-03-08	1
435	194	2	2019-02-17	3
436	146	2	2019-04-18	1
437	166	2	2018-10-21	8
438	148	2	2018-07-30	9
439	172	2	2018-05-24	1
440	115	2	2019-02-10	8
441	125	2	2018-05-14	3
442	19	2	2019-05-19	6
443	213	2	2018-11-04	2
444	108	2	2018-05-09	7
445	152	2	2018-08-31	10
446	69	2	2018-11-06	6
447	79	2	2018-06-17	5
448	160	2	2018-06-24	5
449	216	2	2019-04-26	5
450	239	2	2019-05-25	6
451	165	2	2018-08-21	6
452	287	2	2019-02-16	5
453	5	2	2019-03-10	3
454	185	2	2019-05-20	9
455	180	2	2018-08-24	2
456	308	2	2018-11-10	5
457	258	2	2019-02-18	10
458	103	2	2019-02-04	4
459	278	2	2018-08-29	7
460	164	2	2018-05-08	3
461	36	2	2018-10-25	4
462	219	2	2018-09-26	10
463	61	2	2018-07-08	4
464	222	2	2018-07-19	8
465	50	2	2018-10-16	9
466	264	2	2019-03-19	10
467	133	2	2018-05-22	8
468	93	2	2019-01-06	7
469	162	2	2019-03-10	7
470	150	2	2018-11-22	7
471	181	2	2018-10-11	1
472	236	2	2018-04-21	9
473	297	2	2018-04-26	8
474	112	2	2018-10-27	8
475	49	2	2018-05-22	6
476	293	2	2019-05-15	1
477	134	2	2019-02-09	5
478	73	2	2019-04-05	4
479	191	2	2018-06-26	2
480	310	2	2018-12-04	6
481	284	2	2019-05-10	6
482	151	2	2019-02-13	8
483	45	2	2019-04-02	6
484	9	2	2018-08-29	2
485	147	2	2019-05-05	7
486	183	2	2018-05-26	10
487	89	2	2018-08-24	10
488	113	2	2019-03-16	1
489	200	2	2018-06-24	7
490	121	2	2018-12-08	2
491	87	2	2019-01-16	7
492	97	2	2019-04-10	8
493	156	2	2018-07-08	4
494	122	2	2018-06-10	3
495	274	2	2018-05-03	5
496	39	2	2019-05-12	9
497	316	2	2019-01-22	2
498	309	2	2019-05-04	7
499	241	2	2018-12-01	4
500	107	2	2019-04-03	1
501	204	2	2018-11-23	7
502	167	2	2018-07-11	4
503	288	2	2018-08-17	10
504	302	2	2018-09-10	8
505	289	2	2019-05-16	2
506	282	2	2018-12-28	1
507	244	2	2018-10-26	8
508	299	2	2019-01-27	2
509	104	3	2019-03-20	2
510	157	3	2019-03-13	8
511	305	3	2018-07-25	9
512	278	3	2018-05-22	5
513	297	3	2018-10-26	5
514	22	3	2018-12-12	7
515	107	3	2018-09-15	10
516	56	3	2019-04-16	3
517	308	3	2018-08-26	3
518	316	3	2018-06-08	4
519	111	3	2019-01-05	5
520	292	3	2019-03-11	8
521	280	3	2018-10-21	4
522	43	3	2019-01-08	6
523	5	3	2018-05-07	7
524	272	3	2018-05-19	4
525	10	3	2018-12-02	2
526	266	3	2018-07-04	7
527	127	3	2019-05-24	8
528	6	3	2019-04-02	7
529	265	3	2019-04-29	8
530	270	3	2019-02-22	1
531	234	3	2018-11-08	10
532	217	3	2018-10-17	1
533	188	3	2019-01-03	10
534	190	3	2019-05-09	8
535	137	3	2018-08-01	4
536	203	3	2018-05-21	1
537	61	3	2018-11-28	3
538	314	3	2018-08-23	3
539	23	3	2019-03-30	5
540	170	3	2018-04-23	7
541	114	3	2019-02-11	4
542	64	3	2019-02-13	9
543	33	3	2018-08-28	2
544	275	3	2018-05-02	2
545	184	3	2019-03-07	2
546	7	3	2018-12-16	1
547	12	3	2018-06-08	9
548	201	3	2018-09-15	5
549	296	3	2019-04-28	7
550	259	3	2019-02-19	6
551	176	3	2019-05-04	1
552	9	3	2018-06-28	4
553	150	3	2018-07-11	6
554	91	3	2018-08-13	5
555	202	3	2019-01-26	5
556	95	3	2018-09-25	2
557	145	3	2018-07-29	5
558	160	3	2018-06-14	3
559	148	3	2018-09-02	7
560	101	3	2018-12-05	5
561	194	3	2019-03-30	9
562	116	3	2018-12-24	8
563	317	3	2018-04-22	3
564	108	3	2019-03-11	4
565	112	3	2018-10-08	9
566	48	3	2018-12-08	10
567	181	3	2018-05-24	6
568	84	3	2018-11-01	10
569	295	3	2018-05-22	4
570	199	3	2018-04-23	5
571	228	3	2019-02-27	3
572	77	3	2019-04-23	10
573	256	3	2019-04-01	1
574	172	3	2018-12-29	5
575	167	3	2018-11-01	4
576	141	3	2018-12-10	4
577	231	3	2018-11-29	10
578	152	3	2018-06-19	4
579	80	3	2019-03-03	10
580	99	3	2019-02-02	4
581	282	3	2018-10-02	8
582	207	3	2019-02-27	6
583	195	3	2018-10-11	9
584	177	3	2018-12-02	4
585	281	3	2018-12-21	10
586	261	3	2018-06-18	4
587	131	3	2018-04-26	1
588	315	3	2018-12-01	4
589	106	3	2018-11-24	3
590	237	3	2019-03-21	8
591	225	3	2018-10-09	9
592	58	3	2019-01-30	2
593	277	3	2018-12-21	1
594	291	3	2019-03-22	9
595	171	3	2019-05-03	7
596	253	3	2018-10-27	1
597	233	3	2018-10-24	9
598	57	3	2019-03-01	4
599	246	3	2019-03-04	1
600	178	3	2018-12-28	5
601	267	3	2019-04-29	2
602	168	3	2019-05-13	1
603	214	3	2018-11-21	7
604	8	3	2018-11-25	1
605	208	3	2019-01-12	9
606	39	3	2019-03-09	3
607	14	3	2018-05-24	7
608	27	3	2018-04-21	6
609	133	3	2018-09-23	2
610	213	3	2018-09-21	4
611	86	3	2018-08-16	8
612	205	3	2018-05-24	6
613	204	3	2019-02-01	2
614	92	3	2018-07-30	10
615	153	3	2018-09-10	6
616	200	3	2018-08-05	7
617	279	3	2018-12-02	8
618	32	3	2018-11-07	10
619	221	3	2018-09-30	7
620	73	3	2018-11-24	5
621	83	3	2019-01-17	9
622	320	3	2018-11-02	1
623	219	3	2018-11-11	7
624	1	3	2018-07-25	7
625	147	3	2019-01-30	1
626	4	3	2018-06-13	9
627	260	3	2018-05-19	6
628	102	3	2019-04-28	2
629	285	3	2018-06-18	6
630	186	3	2019-03-04	1
631	319	3	2018-08-09	4
632	165	3	2018-06-26	6
633	66	3	2019-02-08	6
634	72	3	2018-06-27	7
635	198	3	2019-03-17	9
636	249	3	2018-08-01	10
637	120	3	2019-03-01	1
638	247	3	2018-10-14	5
639	140	3	2018-06-20	6
640	35	3	2018-05-27	7
641	87	3	2019-03-26	9
642	63	3	2018-07-10	4
643	227	3	2019-04-15	9
644	85	3	2018-05-25	10
645	164	3	2018-08-16	1
646	122	3	2018-09-23	7
647	50	3	2018-11-07	6
648	161	3	2018-10-01	10
649	276	3	2019-01-05	4
650	158	3	2018-06-18	9
651	212	3	2018-10-19	6
652	94	3	2018-08-06	4
653	78	3	2019-04-26	10
654	197	3	2018-12-10	8
655	269	3	2018-09-16	1
656	262	3	2018-10-15	3
657	38	3	2018-10-28	4
658	60	3	2018-12-22	8
659	51	3	2018-08-30	6
660	89	3	2018-05-10	9
661	271	3	2018-11-12	4
662	238	3	2019-03-24	2
663	174	3	2018-07-15	3
664	54	3	2018-07-11	3
665	30	3	2019-02-13	4
666	136	3	2018-04-28	7
667	103	3	2019-02-22	8
668	21	3	2019-03-22	2
669	264	3	2018-07-18	4
670	135	3	2018-11-04	10
671	119	3	2018-12-20	1
672	294	3	2019-05-15	1
673	49	3	2019-04-22	9
674	251	3	2018-10-29	1
675	183	3	2018-10-14	6
676	155	3	2018-06-27	3
677	117	3	2018-06-09	6
678	11	3	2018-09-25	6
679	244	3	2019-04-01	4
680	215	3	2018-12-20	6
681	222	3	2018-06-12	2
682	3	3	2019-04-23	4
683	196	3	2018-05-12	7
684	115	3	2019-04-09	1
685	240	3	2019-05-25	4
686	17	3	2019-01-13	3
687	289	3	2018-04-29	10
688	273	3	2018-11-20	7
689	302	3	2019-04-06	7
690	254	3	2018-07-07	1
691	206	3	2018-11-28	7
692	286	3	2018-10-24	5
693	129	3	2018-12-30	5
694	44	3	2018-10-25	3
695	258	3	2019-05-06	5
696	68	3	2018-06-24	4
697	118	3	2018-08-05	8
698	175	3	2018-12-23	7
699	62	3	2018-06-25	7
700	303	3	2018-04-25	3
701	88	3	2018-12-22	6
702	287	3	2018-09-20	2
703	36	3	2018-07-21	3
704	310	3	2018-06-14	7
705	312	3	2018-11-14	6
706	301	3	2018-06-19	1
707	151	3	2019-03-08	2
708	13	3	2019-05-10	3
709	15	3	2018-12-13	4
710	230	3	2018-04-22	9
711	185	3	2018-05-31	8
712	98	3	2019-04-22	4
713	179	3	2018-11-12	6
714	79	3	2018-06-11	1
715	304	3	2019-05-04	7
716	25	3	2019-01-07	8
717	82	3	2019-03-16	8
718	209	3	2018-09-11	10
719	75	3	2019-02-01	10
720	55	3	2019-01-22	9
721	121	3	2019-04-04	7
722	300	3	2018-09-13	1
723	46	3	2018-12-01	7
724	126	3	2019-03-12	3
725	70	3	2018-11-25	4
726	226	3	2018-06-24	7
727	218	3	2018-06-02	1
728	166	3	2018-10-29	8
729	298	3	2018-09-08	8
730	109	3	2018-07-17	5
731	299	3	2018-07-19	4
732	31	3	2018-07-19	7
733	67	3	2018-10-18	2
734	47	3	2018-12-26	8
735	53	3	2018-09-15	4
736	309	3	2019-01-29	5
737	229	3	2019-02-27	6
738	306	3	2018-05-06	9
739	96	3	2018-06-10	8
740	29	3	2018-11-11	7
741	2	3	2019-03-12	2
742	290	3	2019-04-16	3
743	268	3	2019-04-23	4
744	288	3	2018-09-07	1
745	16	3	2018-11-24	4
746	19	3	2018-06-04	8
747	241	3	2018-07-02	7
748	192	3	2019-05-08	7
749	113	3	2018-05-18	6
750	65	3	2019-05-01	9
751	143	3	2019-02-11	1
752	173	3	2018-07-25	5
753	263	3	2018-09-05	2
754	24	3	2018-10-07	7
755	248	3	2018-07-25	10
756	37	3	2018-05-13	4
757	307	3	2019-03-14	4
758	105	3	2018-05-27	3
759	169	3	2018-12-10	2
760	138	3	2018-06-28	7
761	149	3	2018-09-13	9
762	274	3	2019-01-16	7
763	74	3	2018-05-26	5
764	196	4	2018-11-07	3
765	109	4	2019-05-18	8
766	262	4	2018-05-15	5
767	235	4	2019-04-12	3
768	172	4	2019-03-04	4
769	24	4	2019-05-10	10
770	29	4	2018-09-03	6
771	187	4	2018-09-10	5
772	40	4	2018-11-06	5
773	231	4	2019-05-18	3
774	21	4	2019-04-04	1
775	54	4	2018-06-15	3
776	278	4	2019-02-08	2
777	39	4	2019-02-01	6
778	87	4	2018-09-22	2
779	127	4	2018-05-04	5
780	256	4	2018-09-20	6
781	142	4	2019-04-03	3
782	245	4	2018-05-18	5
783	138	4	2018-06-18	1
784	46	4	2019-03-04	1
785	192	4	2018-10-21	1
786	3	4	2018-07-24	7
787	89	4	2018-06-30	9
788	182	4	2018-11-28	7
789	124	4	2019-01-03	3
790	257	4	2018-08-04	10
791	243	4	2018-10-01	8
792	205	4	2018-09-06	3
793	116	4	2019-02-14	10
794	258	4	2019-01-21	2
795	61	4	2019-02-20	3
796	207	4	2018-12-02	1
797	120	4	2018-09-13	5
798	79	4	2019-03-10	2
799	249	4	2018-11-09	9
800	11	4	2019-01-28	4
801	307	4	2019-05-06	4
802	95	4	2018-12-01	8
803	164	4	2019-04-08	8
804	163	4	2018-12-17	6
805	76	4	2018-08-18	2
806	251	4	2018-10-19	4
807	174	4	2018-10-25	8
808	17	4	2018-05-08	10
809	299	4	2019-05-07	4
810	217	4	2019-05-23	5
811	149	4	2019-04-08	2
812	99	4	2019-02-24	6
813	136	4	2018-07-07	8
814	36	4	2018-07-19	9
815	6	4	2018-09-08	10
816	226	4	2019-04-23	6
817	147	4	2018-08-24	6
818	48	4	2019-03-26	1
819	189	4	2018-11-08	6
820	1	4	2018-10-24	3
821	8	4	2019-03-19	9
822	298	4	2018-05-15	10
823	139	4	2019-02-08	4
824	117	4	2018-05-04	8
825	134	4	2018-04-27	5
826	237	4	2018-08-21	9
827	228	4	2018-06-29	7
828	255	4	2018-08-21	2
829	96	4	2018-11-20	3
830	105	4	2018-04-22	4
831	26	4	2018-06-01	8
832	63	4	2018-11-10	5
833	221	4	2018-06-08	7
834	128	4	2018-08-06	8
835	227	4	2019-03-24	7
836	158	4	2018-09-30	5
837	200	4	2018-05-13	9
838	271	4	2018-06-04	9
839	238	4	2018-12-12	5
840	19	4	2018-10-22	10
841	312	4	2018-11-05	10
842	171	4	2018-05-06	8
843	91	4	2018-11-09	7
844	288	4	2018-04-26	2
845	314	4	2019-04-07	1
846	130	4	2018-05-20	9
847	254	4	2019-03-10	5
848	10	4	2018-11-23	5
849	300	4	2019-02-18	3
850	320	4	2018-07-02	9
851	303	4	2018-11-21	4
852	195	4	2018-05-28	9
853	94	4	2018-12-30	4
854	93	4	2018-06-23	10
855	218	4	2019-04-22	1
856	58	4	2018-05-30	2
857	290	4	2019-04-12	9
858	88	4	2018-05-20	2
859	305	4	2019-04-28	5
860	118	4	2018-07-25	4
861	311	4	2019-02-26	5
862	184	4	2018-11-21	1
863	4	4	2018-11-03	2
864	212	4	2018-06-16	10
865	166	4	2018-06-12	10
866	92	4	2018-08-17	7
867	157	4	2018-08-23	7
868	80	4	2018-07-05	7
869	274	4	2018-08-12	8
870	27	4	2018-05-20	1
871	75	4	2019-01-12	3
872	296	4	2018-12-17	6
873	100	4	2018-04-29	4
874	135	4	2019-03-06	1
875	16	4	2018-06-15	1
876	179	4	2019-03-21	7
877	224	4	2018-07-13	4
878	266	4	2019-05-17	1
879	28	4	2018-11-12	5
880	72	4	2018-04-29	5
881	242	4	2019-03-02	3
882	233	4	2018-08-10	10
883	131	4	2019-01-18	1
884	219	4	2019-05-18	4
885	162	4	2018-10-11	1
886	284	4	2019-01-12	10
887	156	4	2018-05-21	5
888	126	4	2019-01-26	2
889	185	4	2018-05-19	8
890	302	4	2018-12-18	7
891	252	4	2018-04-21	7
892	236	4	2018-10-08	9
893	269	4	2018-09-02	10
894	13	4	2018-07-27	3
895	78	4	2018-09-21	4
896	211	4	2018-09-22	1
897	12	4	2018-07-22	1
898	276	4	2019-02-17	7
899	248	4	2019-05-23	7
900	204	4	2018-06-21	6
901	208	4	2018-11-30	7
902	77	4	2018-07-16	3
903	315	4	2019-05-19	4
904	190	4	2018-12-05	9
905	50	4	2019-01-02	2
906	41	4	2018-09-11	2
907	148	4	2018-12-23	3
908	161	4	2018-11-18	9
909	316	4	2019-04-22	6
910	15	4	2018-08-04	10
911	270	4	2018-12-28	10
912	107	4	2018-08-30	4
913	210	4	2018-04-28	7
914	98	4	2018-05-23	4
915	69	4	2019-03-16	4
916	151	4	2018-07-15	4
917	297	4	2019-02-09	1
918	5	4	2019-04-02	2
919	301	4	2019-05-17	5
920	176	4	2019-03-09	3
921	25	4	2018-07-04	1
922	143	4	2018-09-01	1
923	113	4	2019-03-24	7
924	33	4	2018-08-14	5
925	275	4	2018-12-09	2
926	56	4	2018-10-17	9
927	279	4	2019-04-18	6
928	45	4	2018-12-21	8
929	35	4	2019-04-28	4
930	194	4	2018-07-13	4
931	191	4	2018-06-28	3
