music_no	title	singer	genre	date
71	거짓말	BIGBANG	댄스	2018-01-15
72	거침없이	부석순	댄스	2018-03-21
73	겁쟁이	버즈	록/메탈	2017-10-10
74	경고	기리보이	랩/힙합	2015-03-17
75	경부선	정보	트로트	2018-05-31
76	계란꽃	신지훈	발라드	2018-04-08
77	고백	포맨	R&B/Soul	2006-03-09
78	괜찮다	양은선	인디음악	2018-02-20
79	괜찮아	다누	발라드	2018-02-27
80	그 시절	어쿠스틱밴드 어벤져스	Folk	2018-06-14
81	그냥 가요	리쌍	랩/힙합	2016-08-01
82	그대로 있어도 돼	김하온,박준호	랩/힙합	2018-03-24
83	그땐	강우경	인디음악	2018-03-16
84	그땐 미처 알지 못했지	이적	록/메탈	2017-12-19
85	그래서 그대는	얀	록/메탈	2018-01-31
86	그렇게 그대를	마리아주	인디음악	2018-05-16
87	그리워요	김동휘	발라드	2018-05-24
88	그저	아웃사이더	랩/힙합	2009-06-01
89	글루미 세러데이	써커스백,배기성	발라드	2018-03-21
90	기다려	랄라스윗	Folk	2011-11-29
91	기대해	걸스데이	댄스	2018-06-04
92	기억을 걷는 시간	넬	록/메탈	2018-02-22
93	기억의 습작	전람회	발라드	2018-02-27
94	길	황수환	인디음악	2018-05-01
95	까마귀	블루우즈	랩/힙합	2018-05-30
96	깜빡	G-DRAGON	랩/힙합	2012-09-15
97	꿈꾸는 방	오후에만	Folk	2018-06-12
98	꿈에	박정현	R&B/Soul	2002-06-15
99	꿈의 가로수길	김목인	Folk	2011-12-01
100	끄덕끄덕	리썬	인디음악	2018-04-27
101	끝사랑	김범수	발라드	2018-04-09
102	나는 나비	YB	록/메탈	2017-12-26
103	나를 불러주세요	김윤희	R&B/Soul	2018-06-16
104	나와	롱디	R&B/Soul	2017-06-12
105	난 널 원해	버벌진트	랩/힙합	2018-05-10
106	날 봐, 귀순	대성	트로트	2008-06-16
107	남이다	조항조	트로트	2018-05-25
108	남자를 몰라	버즈	록/메탈	2017-12-23
109	낭만에 대하여	최백호	트로트	2003-06-01
110	내 나이가 어때서	오승근	트로트	2012-07-09
111	내 사람입니다	더 넛츠	록/메탈	2017-08-11
112	내 손을 잡아	아이유	록/메탈	2018-03-30
113	내가 날 모르는 것처럼	백예린	R&B/Soul	2017-02-20
114	너랑 나	아이유	댄스	2018-05-04
115	너만 몰라	박한얼	Folk	2018-06-08
116	너의 노래	소향	Folk	2018-05-25
117	넌 항상	장필순	Folk	1997-08-01
118	넘어와	DEAN	R&B/Soul	2017-02-16
119	네 손을 잡고 싶어	박문치	Folk	2018-06-14
120	녹아내릴 것 같아	천희승	발라드	2018-02-28
121	누구	김바다	인디음악	2018-03-13
122	눈 오던 날	재주소년	Folk	2003-11-28
123	눈,코,입	태양	R&B/Soul	2014-06-03
124	눈물샤워	ETC	랩/힙합	2018-05-29
125	느낌	폴킴	R&B/Soul	2018-01-31
126	늦었어	슈퍼걸	댄스	2018-04-12
127	늦잠	유석	발라드	2018-05-03
128	늪	마해수	인디음악	2018-04-16
129	다시 만난 세계	소녀시대	댄스	2018-04-14
130	단발머리	조용필	트로트	1980-03-20
131	달의 몰락	울랄라세션	록/메탈	2017-12-23
132	당신편	장윤정	트로트	2017-08-11
133	댄서의 연인	송석철밴드	Folk	2018-06-05
134	도도한 여자	엘아이	댄스	2018-05-11
135	도시	QQ	록/메탈	2017-09-25
136	독백	휘성	발라드	2018-03-27
137	둥지	남진	트로트	2000-02-21
138	뒤늦은 후회	최진희	트로트	2018-05-02
139	따르릉	홍진영	트로트	2017-04-20
140	땡땡땡	리쌍	랩/힙합	2018-05-30
141	마냥	정권정	인디음악	2018-04-17
142	마흔	빡세	인디음악	2018-03-19
143	막차	마리슈	인디음악	2018-02-26
144	만약에 말야	노을	발라드	2018-04-26
145	말 좀 해줘	긱스	랩/힙합	2018-05-31
146	말해	타임브릿지	발라드	2018-05-30
147	맑은 하늘	듀자매	Folk	2018-06-08
148	맞장구	박현성	트로트	2018-05-16
149	매직 카펫 라이드	자우림	록/메탈	2018-05-29
150	먼지가 되어	김광석	Folk	2012-07-09
151	멀어	DOK2	랩/힙합	2018-06-01
152	모니카	편지들	인디음악	2018-05-29
153	무조건	박상철	트로트	2005-04-07
154	묻지마세요	김성환	트로트	2014-07-22
155	물좀주소	한대수	Folk	1989-05-30
156	뭐라할까	브리즈	록/메탈	2018-05-29
157	미세먼지	로맨틱모먼트	인디음악	2018-04-12
158	미안하다	솔비하진	발라드	2018-05-10
159	미워요	정인	R&B/Soul	2010-03-11
160	미쳐	JAZZFACT	랩/힙합	2018-06-02
161	미쳤나봐	소란	록/메탈	2018-03-30
162	민들레	아이엠	인디음악	2018-03-23
163	바보	에픽하이	랩/힙합	2018-06-04
164	바질	SUPREME TEAM	랩/힙합	2018-06-03
165	방가방가	한여름	트로트	2018-05-30
166	백만송이 장미	심수봉	트로트	1997-02-01
167	버스	크래커	인디음악	2018-05-29
168	별 빛이 내린다	안녕바다	록/메탈	2017-11-21
169	보릿고개	진성	트로트	2015-04-18
170	보여줄게	에일리	댄스	2018-04-16
171	복숭아	두호	인디음악	2018-03-23
172	본능적으로	강승윤	록/메탈	2017-12-19
173	봄날은 간다	김윤아	록/메탈	2017-07-05
174	봄비	정창훈	인디음악	2018-04-13
175	부기맨	홍진영	트로트	2013-03-22
176	불행아	김광석	Folk	2012-07-09
177	비	유월말 선샤인	인디음악	2018-04-22
178	비 그리고 너	범키	R&B/Soul	2018-06-13
179	비가 오는 날엔	비스트	발라드	2018-05-02
180	비나리	심수봉	트로트	2003-10-22
181	비를 내려줘요	공기남	발라드	2018-04-26
182	비와 당신	럼블피쉬	록/메탈	2017-08-11
183	비의 랩소디	최재훈	록/메탈	2018-03-26
184	비행기	거북이	댄스	2018-04-15
185	뻔해	환희	R&B/Soul	2018-05-22
186	삐용삐용	김미사	트로트	2018-05-11
187	사랑	나훈아	트로트	2003-04-23
188	사랑 빛	씨엔블루	록/메탈	2018-03-15
189	사랑과 전쟁	다비치	댄스	2018-04-23
190	사랑앓이	FTISLAND	록/메탈	2018-04-27
191	사랑을 했다	GD&TOP	랩/힙합	2018-06-05
192	사랑한 후에	박효신	발라드	2018-04-08
193	사랑했던 그 날들로	키스엔&하이솔	R&B/Soul	2018-06-05
194	사랑했지만	김광석	Folk	2012-07-09
195	산다는 건	홍진영	트로트	2014-11-06
196	산책	위은총	인디음악	2018-05-16
197	산책의 간격	피터팬 콤플렉스	발라드	2018-03-30
198	상사병	김꽃	인디음악	2018-05-18
199	상수동	JEM	인디음악	2018-04-22
200	새벽감성	로피	R&B/Soul	2018-05-20
201	생각해	에픽하이	랩/힙합	2018-06-06
202	샤이닝	자우림	록/메탈	2017-11-21
203	서두르지 말아요	조원선	Folk	2018-06-06
204	서울 느와르	장재인	Folk	2018-05-29
205	성인	다이나믹 듀오	랩/힙합	2018-06-07
206	소원을 말해봐	소녀시대	댄스	2018-05-02
207	슬픈 인연	나미	트로트	2008-05-21
208	시간아 멈춰라	다비치	댄스	2018-05-01
209	시계바늘	신유	트로트	2008-09-23
210	시작이 좋아	지누션	랩/힙합	2018-06-08
211	심쿵심쿵	강차돌	트로트	2018-05-24
212	아까워	버벌진트	랩/힙합	2018-06-09
213	아래에서 보는 별	플랏나인	발라드	2018-05-23
214	아마	코르크	인디음악	2018-02-28
215	아모르 파티	김연자	트로트	2013-07-23
216	아무렇지 않니	강정민	발라드	2018-02-27
217	아침 이슬	김민기	Folk	2004-10-19
218	안	심규선	발라드	2018-02-27
219	안녕, 잘자	득군	Folk	2018-06-07
220	안동역에서	진성	트로트	2012-08-23
221	안아줘	달 좋은 밤	인디음악	2018-02-03
222	안아줘요	10cm	록/메탈	2018-03-03
223	알고있나요	조은	록/메탈	2017-05-18
224	애상	10cm	Folk	2012-01-05
225	애정표현	플라워	록/메탈	2017-12-26
226	앵콜요청금지	브로콜리너마저	록/메탈	2018-03-15
227	야상곡	김윤아	록/메탈	2017-12-23
228	어떤가요	화요비	R&B/Soul	2003-10-24
229	어린 왕자	사이먼 도미닉	랩/힙합	2018-06-10
230	어머나!	장윤정	트로트	2004-10-22
231	어부바	장윤정	트로트	2006-09-25
232	어제의날씨	배인혁	발라드	2018-04-19
233	언젠가	이권형	인디음악	2018-03-29
234	엄마	사람또사람	인디음악	2018-05-08
235	엄지척	홍진영	트로트	2016-03-24
236	에너제틱	워너원	댄스	2017-08-07
237	여름이라좋은것들	갈색언니	Folk	2018-06-07
238	여전히 아름다운지	김연우	발라드	2018-03-30
239	여행을 떠나요	이승기	록/메탈	2017-12-19
240	연연	김구수	발라드	2018-05-02
241	옅은	선비	발라드	2018-04-26
242	오! 마이 럽	이고운	Folk	2018-06-08
243	오늘은	달픈	발라드	2018-04-08
244	오라버니	금잔디	트로트	2013-03-01
245	오래된 친구	어떤날	Folk	1986-12-10
246	오랜 습관	로코베리	인디음악	2018-05-29
247	온기	촉촉	인디음악	2018-02-23
248	온도	정든	발라드	2018-04-08
249	외국인의 고백	악동뮤지션	Folk	2013-04-04
250	외롭지 않아	옥상달빛	Folk	2010-01-22
251	외톨이	에픽하이	랩/힙합	2018-06-11
252	우리 그때로	우은미	발라드	2018-05-18
253	우리를 지우면서	야수	발라드	2018-05-02
254	운명 같은 사랑	파스칼	록/메탈	2017-12-20
255	웃음가면	GRAY	랩/힙합	2018-06-12
256	워 아이 니	란초	Folk	2018-06-15
257	월화수목금금금	멜로우독	Folk	2018-06-07
258	유난히	루모스	Folk	2018-06-08
259	이 낯선 길에서	DZO	발라드	2018-05-30
260	이름이 뭐예요	4MINUTE	댄스	2018-02-28
261	이미 슬픈 사랑	야다	록/메탈	2018-03-03
262	이어줘	빌리	Folk	2018-06-12
263	인형의 꿈	러브홀릭	록/메탈	2018-04-27
264	임과 함께	남진	트로트	2009-08-03
265	있어줘	ENOCH	R&B/Soul	2018-06-15
266	잊을 수 없지만	혜화동소년	인디음악	2018-03-22
267	잊을만하면	Crush	R&B/Soul	2018-05-03
268	자니	매드클라운	랩/힙합	2018-06-13
269	작은 별	사탕수수	인디음악	2018-05-09
270	잘가라	홍진영	트로트	2018-02-07
271	잠시만 안녕	엠씨더맥스	발라드	2018-03-30
272	저 별	헤이즈	R&B/Soul	2016-12-05
273	저녁 하늘	에일리	발라드	2018-04-19
274	전화번호	스윙스	랩/힙합	2018-06-14
275	점점	브라운 아이즈	R&B/Soul	2002-11-26
276	정거장	윤철	트로트	2018-05-14
277	정말로 사랑한다면	버스커버스커	록/메탈	2018-05-29
278	종이비행기	윤하	R&B/Soul	2017-12-11
279	좋아하게 된 것 같아	한살차이	인디음악	2018-01-17
280	좋은 날	아이유	댄스	2017-11-27
281	죽겠네	10cm	Folk	2010-04-22
282	즐거워	창출	인디음악	2018-04-20
283	지난날	AK PROJECT	인디음악	2018-05-19
284	지워지지 않아	양의	발라드	2018-04-09
285	진진자라	태진아	트로트	2015-07-16
286	집으로 돌아가는 길	홍혜림	Folk	2018-06-08
287	짜릿하게	우주미키	댄스	2018-06-01
288	짠짜라	장윤정	트로트	2005-05-10
289	천년지기	유진표	트로트	2009-10-22
290	첫고백	문빛	인디음악	2018-05-18
291	청개구리	XIE	록/메탈	2018-05-30
292	청춘을 노래함	안도원	Folk	2018-06-07
293	체념	빅마마	R&B/Soul	2003-02-06
294	초혼	장윤정	트로트	2010-06-08
295	촛불하나	GOD	댄스	2018-02-12
296	커플	젝스키스	댄스	2018-01-16
297	콩떡빙수	악동뮤지션	댄스	2018-04-25
298	크레용	드렁큰 타이거	랩/힙합	2018-06-16
299	크리스마스니까	성시경,박효신,이석훈	발라드	2018-02-27
300	클레멘타인	홍이삭X모노이	인디음악	2018-04-27
301	킬리만자로의 표범	조용필	트로트	1985-11-15
302	파이어봄	달보드레	인디음악	2018-04-27
303	팔레트	아이유	R&B/Soul	2017-04-21
304	편지	장희원	Folk	2018-06-03
305	포도포도해	버스터즈	댄스	2018-04-13
306	풍선	꼼마	인디음악	2018-04-13
307	피카부	레드벨벳	댄스	2018-05-03
308	하루	소요	인디음악	2018-03-26
309	학창시절	DJ DOC	랩/힙합	2018-06-17
310	해바라기	박상민	록/메탈	2017-09-25
311	행복하지마	마마무, 범키	R&B/Soul	2014-01-09
312	헛것	가을방학	Folk	2013-04-08
313	헤어져줄게	HOME STAGE	발라드	2018-05-06
314	헷갈리게 해	조소리	R&B/Soul	2018-06-15
315	형	노라조	록/메탈	2017-10-10
316	홍시	나훈아	트로트	2018-02-05
317	화해	파스텔라운지	발라드	2018-04-09
318	황진이	박상철	트로트	2007-03-22
319	회상	SUPREME TEAM	랩/힙합	2018-06-18
320	흰	크르르	인디음악	2018-01-25
