Air_code	Rend	Country	Departure	Arrive	Air	Type	StartTime	LastTime	Fare
96	국제선	일본	부산	후쿠오카	7C1452	B738	7:30:00	8:40:00	382900
97	국제선	일본	후쿠오카	부산	7C1453	B738	14:55:00	15:45:00	382900
98	국제선	일본	후쿠오카	부산	7C1451	B738	8:55:00	10:05:00	382900
99	국제선	일본	후쿠오카	부산	7C1451	B738	8:55:00	10:05:00	382900
100	국제선	일본	후쿠오카	부산	7C1451	B738	8:55:00	9:40:00	382900
101	국제선	일본	후쿠오카	부산	7C1451	B738	8:55:00	9:40:00	382900
102	국제선	일본	후쿠오카	부산	7C1451	B738	9:30:00	10:15:00	382900
103	국제선	중화권	부산	타이베이	7C2653	B738	21:55:00	23:30:00	741700
104	국제선	중화권	타이베이	부산	7C2654	B738	2:50:00	6:10:00	741700
105	국제선	중화권	대구	베이징	7C8101	B738	23:20:00	1:10:00	787800
106	국제선	중화권	베이징	대구	7C8102	B738	2:15:00	5:10:00	787800
107	국제선	중화권	인천	웨이하이	7C8503	B738	15:35:00	15:45:00	542800
108	국제선	중화권	인천	웨이하이	7C8501	B738	10:10:00	10:50:00	542800
109	국제선	중화권	웨이하이	인천	7C8504	B738	16:45:00	18:55:00	542800
110	국제선	중화권	웨이하이	인천	7C8502	B738	11:50:00	14:00:00	542800
111	국제선	중화권	인천	자무스	7C8901	B738	10:10:00	12:10:00	752800
112	국제선	중화권	인천	자무스	7C8901	B738	10:35:00	12:10:00	752800
113	국제선	중화권	인천	자무스	7C8901	B738	10:10:00	12:10:00	752800
114	국제선	중화권	자무스	인천	7C8902	B738	13:10:00	16:50:00	752800
115	국제선	중화권	인천	타이베이	7C2601	B738	9:05:00	10:35:00	666700
116	국제선	중화권	인천	타이베이	7C2601	B738	9:35:00	10:35:00	666700
117	국제선	중화권	타이베이	인천	7C2602	B738	11:35:00	15:05:00	666700
118	국제선	동남아	인천	코타키나발루	7C2501	B738	19:10:00	23:20:00	948500
119	국제선	동남아	인천	코타키나발루	7C2565	B738	22:05:00	2:15:00	948500
120	국제선	동남아	인천	코타키나발루	7C2565	B738	20:20:00	0:20:00	948500
121	국제선	동남아	인천	코타키나발루	7C2567	B738	19:15:00	23:45:00	948500
122	국제선	동남아	인천	코타키나발루	7C2567	B738	20:05:00	23:45:00	948500
123	국제선	동남아	인천	코타키나발루	7C2567	B738	19:15:00	23:45:00	948500
124	국제선	동남아	코타키나발루	인천	7C2502	B738	0:20:00	6:25:00	948500
125	국제선	동남아	코타키나발루	인천	7C2566	B738	3:15:00	9:20:00	948500
126	국제선	동남아	코타키나발루	인천	7C2566	B738	1:20:00	7:00:00	948500
127	국제선	동남아	코타키나발루	인천	7C2568	B738	0:55:00	7:00:00	948500
128	국제선	동남아	코타키나발루	인천	7C2568	B738	0:55:00	7:30:00	948500
129	국제선	동남아	코타키나발루	인천	7C2568	B738	0:55:00	6:50:00	948500
130	국제선	일본	인천	삿포로	7C1902	B738	11:20:00	14:00:00	768500
131	국제선	일본	인천	삿포로	7C1901	B738	15:00:00	18:35:00	768500
132	국제선	일본	인천	삿포로	7C1901	B738	15:00:00	18:05:00	768500
133	국제선	중화권	인천	마카오	7C2001	B738	11:00:00	13:35:00	848100
134	국제선	중화권	인천	마카오	7C2002	B738	14:35:00	19:00:00	848100
135	국제선	중화권	인천	산야	7C8601	B738	20:50:00	1:15:00	992800
136	국제선	중화권	산야	인천	7C8602	B738	2:15:00	7:30:00	992800
137	국제선	중화권	인천	스좌장	7C8801	B738	10:10:00	11:20:00	762800
138	국제선	중화권	스좌장	인천	7C8802	B738	12:15:00	15:30:00	762800
139	국제선	중화권	부산	스좌장	7C8851	B738	10:00:00	11:30:00	837800
140	국제선	중화권	스좌장	부산	7C8852	B738	12:25:00	16:05:00	837800
141	국제선	대양주	부산	사이판	7C3452	B738	21:05:00	2:10:00	872400
142	국제선	대양주	부산	사이판	7C3452	B738	21:00:00	2:10:00	872400
143	국제선	대양주	부산	사이판	7C3452	B738	21:05:00	2:10:00	872400
144	국제선	대양주	사이판	부산	7C3451	B738	4:00:00	7:05:00	872400
145	국제선	대양주	사이판	부산	7C3451	B738	3:10:00	6:10:00	872400
146	국제선	일본	부산	나리타	7C1154	B738	10:30:00	12:45:00	590200
147	국제선	일본	부산	나리타	7C1154	B738	10:30:00	12:45:00	590200
148	국제선	일본	부산	나리타	7C1154	B738	10:55:00	13:10:00	590200
149	국제선	일본	부산	나리타	7C1154	B738	14:05:00	16:20:00	590200
150	국제선	일본	부산	나리타	7C1154	B738	10:55:00	13:20:00	590200
151	국제선	일본	나리타	부산	7C1153	B738	14:20:00	16:35:00	590200
152	국제선	일본	나리타	부산	7C1153	B738	19:00:00	21:05:00	590200
153	국내선	국내	서울	제주	7C151	B738	6:25:00	7:30:00	86200
154	국내선	국내	서울(김포)	제주	7C101	B738	6:30:00	7:40:00	86200
155	국내선	국내	서울(김포)	제주	7C103	B738	7:00:00	8:10:00	86200
156	국내선	국내	서울(김포)	제주	7C105	B738	7:50:00	9:00:00	86200
157	국내선	국내	서울(김포)	제주	7C107	B738	9:00:00	10:10:00	86200
158	국내선	국내	서울(김포)	제주	7C141	B738	9:45:00	10:55:00	86200
159	국내선	국내	서울(김포)	제주	7C111	B738	10:05:00	11:15:00	86200
160	국내선	국내	서울(김포)	제주	7C113	B738	11:20:00	12:30:00	86200
161	국내선	국내	서울(김포)	제주	7C113	B738	11:20:00	12:30:00	86200
162	국내선	국내	서울(김포)	제주	7C115	B738	12:25:00	13:35:00	86200
163	국내선	국내	서울(김포)	제주	7C117	B738	12:40:00	13:50:00	86200
164	국내선	국내	서울(김포)	제주	7C143	B738	13:15:00	14:25:00	86200
165	국내선	국내	서울(김포)	제주	7C119	B738	13:50:00	15:00:00	86200
166	국내선	국내	서울(김포)	제주	7C119	B738	13:50:00	15:00:00	86200
167	국내선	국내	서울(김포)	제주	7C119	B738	13:50:00	15:05:00	86200
168	국내선	국내	서울(김포)	제주	7C121	B738	14:40:00	15:50:00	86200
169	국내선	국내	서울(김포)	제주	7C155	B738	15:25:00	16:35:00	86200
170	국내선	국내	서울(김포)	제주	7C155	B738	15:25:00	16:40:00	86200
171	국내선	국내	서울(김포)	제주	7C155	B738	15:25:00	17:05:00	86200
172	국내선	국내	서울(김포)	제주	7C155	B738	15:25:00	16:40:00	86200
173	국내선	국내	서울(김포)	제주	7C123	B738	15:45:00	16:55:00	86200
174	국내선	국내	서울(김포)	제주	7C125	B738	16:05:00	17:15:00	86200
175	국내선	국내	서울(김포)	제주	7C145	B738	16:45:00	17:55:00	86200
176	국내선	국내	서울(김포)	제주	7C127	B738	18:15:00	19:25:00	86200
177	국내선	국내	서울(김포)	제주	7C129	B738	19:05:00	20:15:00	86200
178	국내선	국내	서울(김포)	제주	7C133	B738	19:35:00	20:45:00	86200
179	국내선	국내	서울(김포)	제주	7C147	B738	20:25:00	21:35:00	86200
180	국내선	국내	제주	서울(김포)	7C140	B738	8:00:00	9:10:00	86200
181	국내선	국내	제주	서울(김포)	7C102	B738	8:15:00	9:25:00	86200
182	국내선	국내	제주	서울(김포)	7C104	B738	9:35:00	10:45:00	86200
183	국내선	국내	제주	서울(김포)	7C106	B738	10:45:00	11:55:00	86200
184	국내선	국내	제주	서울(김포)	7C108	B738	11:00:00	12:10:00	86200
185	국내선	국내	제주	서울(김포)	7C142	B738	11:30:00	12:40:00	86200
186	국내선	국내	제주	서울(김포)	7C112	B738	11:45:00	12:55:00	86200
187	국내선	국내	제주	서울(김포)	7C114	B738	12:05:00	13:15:00	86200
188	국내선	국내	제주	서울(김포)	7C154	B738	12:20:00	13:30:00	86200
189	국내선	국내	제주	서울(김포)	7C154	B738	12:35:00	13:45:00	86200
190	국내선	국내	제주	서울(김포)	7C154	B738	12:20:00	13:30:00	86200
191	국내선	국내	제주	서울(김포)	7C116	B738	13:05:00	14:15:00	86200
192	국내선	국내	제주	서울(김포)	7C118	B738	13:55:00	15:05:00	86200
193	국내선	국내	제주	서울(김포)	7C144	B738	15:00:00	16:10:00	86200
194	국내선	국내	제주	서울(김포)	7C120	B738	16:05:00	17:35:00	86200
195	국내선	국내	제주	서울(김포)	7C122	B738	17:20:00	18:30:00	86200
196	국내선	국내	제주	서울(김포)	7C124	B738	17:50:00	19:00:00	86200
197	국내선	국내	제주	서울(김포)	7C146	B738	18:30:00	19:40:00	86200
198	국내선	국내	제주	서울(김포)	7C146	B738	18:30:00	19:40:00	86200
199	국내선	국내	제주	서울(김포)	7C126	B738	20:00:00	21:10:00	86200
200	국내선	국내	제주	서울(김포)	7C128	B738	20:50:00	22:00:00	86200
201	국내선	국내	제주	서울(김포)	7C158	B738	21:00:00	22:10:00	86200
202	국내선	국내	제주	서울(김포)	7C158	B738	21:10:00	22:20:00	86200
203	국내선	국내	제주	서울(김포)	7C130	B738	21:05:00	22:15:00	86200
204	국내선	국내	제주	서울(김포)	7C134	B738	21:20:00	22:30:00	86200
205	국내선	국내	서울(김포)	부산	7C208	B738	19:50:00	21:05:00	78200
206	국내선	국내	서울(김포)	부산	7C208	B738	19:50:00	20:45:00	78200
207	국내선	국내	서울(김포)	부산	7C208	B738	19:50:00	20:30:00	78200
208	국내선	국내	부산	서울(김포)	7C201	B738	7:30:00	8:25:00	78200
209	국내선	국내	부산	서울(김포)	7C201	B738	7:30:00	8:15:00	78200
210	국내선	국내	부산	서울(김포)	7C201	B738	7:30:00	8:25:00	78200
211	국내선	국내	부산	제주	7C503	B738	8:00:00	9:00:00	76200
212	국내선	국내	부산	제주	7C505	B738	9:10:00	10:10:00	76200
213	국내선	국내	부산	제주	7C507	B738	10:30:00	11:30:00	76200
214	국내선	국내	부산	제주	7C507	B738	10:35:00	11:30:00	76200
215	국내선	국내	부산	제주	7C509	B738	12:20:00	13:20:00	76200
216	국내선	국내	부산	제주	7C511	B738	14:30:00	15:30:00	76200
217	국내선	국내	부산	제주	7C513	B738	15:30:00	16:30:00	76200
218	국내선	국내	부산	제주	7C525	B738	16:55:00	17:55:00	76200
219	국내선	국내	부산	제주	7C515	B738	17:05:00	18:00:00	76200
220	국내선	국내	부산	제주	7C517	B738	19:30:00	20:30:00	76200
221	국내선	국내	제주	부산	7C522	B738	8:00:00	9:00:00	76200
222	국내선	국내	제주	부산	7C502	B738	8:55:00	9:55:00	76200
223	국내선	국내	제주	부산	7C502	B738	8:55:00	10:05:00	76200
224	국내선	국내	제주	부산	7C504	B738	10:45:00	11:45:00	76200
225	국내선	국내	제주	부산	7C506	B738	13:00:00	14:00:00	76200
226	국내선	국내	제주	부산	7C508	B738	14:05:00	15:00:00	76200
227	국내선	국내	제주	부산	7C510	B738	15:35:00	16:35:00	76200
228	국내선	국내	제주	부산	7C512	B738	17:50:00	18:50:00	76200
229	국내선	국내	제주	부산	7C514	B738	18:30:00	19:25:00	76200
230	국내선	국내	제주	부산	7C516	B738	20:05:00	21:05:00	76200
231	국내선	국내	청주	제주	7C851	B738	10:10:00	11:20:00	79200
232	국내선	국내	청주	제주	7C801	B738	11:15:00	12:25:00	79200
233	국내선	국내	청주	제주	7C803	B738	18:20:00	19:30:00	79200
234	국내선	국내	청주	제주	7C853	B738	19:25:00	20:35:00	79200
235	국내선	국내	제주	청주	7C852	B738	7:55:00	9:05:00	79200
236	국내선	국내	제주	청주	7C802	B738	9:35:00	10:45:00	79200
237	국내선	국내	제주	청주	7C804	B738	16:35:00	17:45:00	79200
238	국내선	국내	제주	청주	7C854	B738	17:20:00	18:55:00	79200
239	국내선	국내	대구	제주	7C701	B738	9:05:00	10:15:00	78200
240	국내선	국내	대구	제주	7C705	B738	16:05:00	17:15:00	78200
241	국내선	국내	대구	제주	7C767	B738	20:00:00	21:10:00	78200
242	국내선	국내	제주	대구	7C704	B738	14:25:00	15:30:00	78200
243	국내선	국내	제주	대구	7C706	B738	18:15:00	19:10:00	78200
244	국내선	국내	제주	대구	7C706	B738	17:50:00	18:50:00	78200
245	국내선	국내	제주	대구	7C706	B738	19:45:00	20:35:00	78200
246	국내선	국내	제주	대구	7C706	B738	18:35:00	19:40:00	78200
247	국내선	국내	제주	대구	7C706	B738	19:45:00	20:35:00	78200
248	국내선	국내	제주	대구	7C706	B738	19:05:00	20:05:00	78200
249	국내선	국내	제주	대구	7C706	B738	18:35:00	19:40:00	78200
250	국내선	국내	제주	대구	7C768	B738	21:45:00	22:50:00	78200
251	국내선	국내	광주	제주	7C601	B738	11:15:00	12:05:00	65200
252	국내선	국내	광주	제주	7C601	B738	10:15:00	11:05:00	65200
253	국내선	국내	광주	제주	7C605	B738	19:50:00	20:40:00	65200
254	국내선	국내	광주	제주	7C605	B738	19:55:00	21:05:00	65200
255	국내선	국내	광주	제주	7C605	B738	20:30:00	21:35:00	65200
256	국내선	국내	광주	제주	7C605	B738	18:30:00	19:20:00	65200
257	국내선	국내	제주	광주	7C602	B738	9:40:00	10:45:00	65200
258	국내선	국내	제주	광주	7C602	B738	8:10:00	9:10:00	65200
259	국내선	국내	제주	광주	7C606	B738	18:30:00	19:20:00	65200
260	국내선	국내	제주	광주	7C606	B738	16:35:00	17:55:00	65200
